sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
Milton Keynes University Hospital,9,11,6,4,1,4,0
NHS Digital,9,28,19,5,3,1,0
Birmingham City Council,9,29,11,1,3,5,0
Tameside & Glossop Integrated Care NHS Foundation Trust,9,13,10,5,0,4,0
North West Ambulance Service,9,35,19,6,0,2,1
Welsh Ambulance Services NHS Trust,9,19,6,2,1,6,0
Cornwall Council,9,18,12,4,1,4,0
Durham County Council,9,10,8,7,0,2,0
Driver & Vehicle Licensing Agency,9,15,6,1,3,5,0
Avon and Wiltshire Mental Health NHS Trust,9,18,6,2,1,6,0
University Health Board,9,16,10,4,1,4,0
East Lancashire Hospitals NHS Trust,8,9,3,3,0,5,0
Association of Ambulance Chief Executives,8,37,18,1,3,4,0
St George’s Hospital,8,16,9,2,2,4,0
Avon Fire and Rescue Services,8,44,10,1,1,4,2
Warwickshire County Council,8,8,1,1,0,7,0
G4S,8,23,9,3,0,5,0
London Ambulance Service,8,28,18,4,2,2,0
Sussex Police,8,14,10,4,1,3,0
Sandwell and West Birmingham NHS Trust,8,12,6,4,0,3,1
National Probation Service,8,16,9,3,1,4,0
Oxleas NHS Trust,8,13,8,4,0,4,0
Secretary of State for Health,8,16,12,3,2,3,0
Central and North West London NHS Trust,8,16,11,3,2,3,0
Department of Education,8,19,9,2,1,5,0
NHS Pathways,8,16,9,4,0,4,0
Camden & Islington NHS Trust,8,14,8,4,0,4,0
Portsmouth Hospitals NHS Trust,8,16,8,2,3,3,0
East of England Ambulance Service,7,11,13,5,2,0,0
Nursing and Midwifery Council,7,15,10,3,1,3,0
Stockport NHS Trust,7,15,3,2,0,5,0
East London NHS Foundation Trust,7,9,4,3,1,3,0
Royal Stoke University Hospital,7,10,5,3,0,3,1
North Bristol NHS Trust,7,10,3,2,1,4,0
Royal College of Paediatrics and Child Health,7,25,3,0,1,5,1
East Kent Hospitals University NHS Foundation Trust,7,12,4,4,0,2,1
HC One,7,10,7,5,1,1,0
REDACTED,7,7,1,1,0,5,1
South London and Maudsley NHS Foundation Trust,7,17,7,1,1,5,0
Greater Manchester Integrated Care,7,21,4,3,0,3,1
Welsh Assembly Government,7,21,11,2,1,4,0
North East Ambulance Service NHS Foundation Trust,7,9,4,4,0,2,1
United Lincolnshire Hospital Trust,7,7,2,2,0,5,0
West Sussex County Council,7,10,7,5,0,2,0
Department for Digital Culture Media and Sport,7,20,2,2,0,3,2
Tameside General Hospital,6,11,7,3,0,3,0
Norfolk and Norwich University Hospital,6,11,6,2,1,3,0
Powys County Council,6,9,1,1,0,5,0
Practice Plus Group,6,16,1,1,0,5,0
Devon Partnership NHS Trust,6,14,7,3,1,0,2
Birmingham CCG,6,13,12,5,1,0,0
Lincolnshire County Council,6,10,7,3,1,2,0
MOD,6,10,9,5,0,1,0
Oxleas NHS Foundation Trust,6,13,5,1,0,3,2
Surrey County Council,6,12,7,1,2,2,1
"Tees, Esk and Wear Valley NHS Trust",6,15,6,1,1,4,0
Surrey Police,6,23,4,1,1,4,0
British Medical Association,6,29,7,0,2,4,0
Kings College Hospital,6,13,3,1,1,4,0
Brighton & Sussex University Hospitals NHS trust,6,6,2,2,0,4,0
Maidstone & Tonbridge Wells NHS Trust,6,7,5,4,1,1,0
University Hospital Southampton NHS Foundation Trust,6,10,4,3,0,2,1
Calderdale Council,6,8,4,2,1,3,0
Royal College of Physicians,6,19,7,0,1,3,2
South Wales Police,6,10,5,3,0,3,0
Worcestershire Health Care and NHS Trust,6,7,5,4,0,2,0
Royal Bolton Hospital,6,11,9,5,0,1,0
Royal College Emergency Medicine,6,18,6,0,2,4,0
South Central Ambulance Service,6,14,7,2,1,3,0
Royal College of Psychiatrist,6,24,11,1,1,3,1
Healthcare Safety Investigation Branch,6,17,7,1,2,2,1
South East Coast Ambulance Service,6,17,4,3,0,3,0
Welsh Government,6,14,10,1,3,2,0
Essex Partnership University NHS Foundation Trust,6,13,2,2,0,3,1
West Midlands Ambulance Service,6,10,9,5,1,0,0
Midlands Partnership NHS Trust,5,5,3,3,0,2,0
University Hospitals of Birmingham NHS Foundation Trust,5,6,4,3,0,2,0
Milton Keynes CCG,5,7,4,3,0,2,0
Heart of England NHS Trust,5,9,4,0,1,4,0
Ministry of Defence,5,7,5,3,1,1,0
Mid Yorkshire Hospitals NHS Trust,5,6,3,3,0,1,1
Highways Department,5,9,1,0,1,4,0
Shrewsbury and Telford NHS Trust,5,5,3,3,0,2,0
Manchester University NHS Trust,5,11,2,2,0,3,0
Surrey and Sussex Healthcare NHS Trust,5,5,2,2,0,1,2
Cumbria County Council,5,7,2,2,0,3,0
Devon Partnership Trust,5,8,3,2,0,3,0
Central & North West London NHS Foundation Trust,5,13,5,1,0,4,0
Gloucestershire Hospitals NHS Trust,5,5,4,4,0,1,0
Hampshire County Council,5,11,7,0,4,1,0
Birmingham and Solihull CCG,5,17,10,3,1,1,0
Stockport CCG,5,12,5,3,0,2,0
Stockport Clinical Commissioning Group,5,8,4,3,0,2,0
Wrightington Wigan and Leigh NHS Trust,5,9,8,4,1,0,0
Oxford Health NHS Trust,5,7,5,3,1,1,0
University Hospital of North Midalnds,5,6,3,3,0,2,0
Swansea Bay University Health Board,5,12,5,2,0,3,0
Hellesdon Hospital,5,6,5,4,0,0,1
Kent County Council,5,6,3,3,0,2,0
EPUT,5,11,5,1,2,2,0
Walsall Healthcare NHS Trust,5,6,3,2,1,2,0
Royal College of Anaesthetists,5,19,10,1,2,1,1
South Staffordshire & Shropshire NHS Trust,5,7,3,2,0,3,0
The Royal College of General Practitioners,5,22,10,1,1,2,1
NHS,5,14,4,0,1,3,1
Great Western Hospital NHS Trust,5,8,3,3,0,2,0
Essex Police,5,11,5,1,2,2,0
Joint Royal Colleges Ambulance Liaison Committee,5,15,4,0,0,5,0
The Home Secretary,4,14,8,1,1,2,0
Secretary of State,4,9,3,0,0,4,0
Leicestershire Partnership NHS Trust,4,5,2,2,0,2,0
Plymouth Hospitals NHS Trust,4,6,5,3,0,1,0
HMP Long Lartin,4,4,3,3,0,1,0
The Home Office,4,11,6,2,0,2,0
Isle of Wight NHS Trust,4,6,1,1,0,3,0
East Midlands Ambulance Service NHS Trust,4,8,3,2,1,1,0
Barking Havering and Redbridge NHS Trust,4,7,3,1,0,3,0
Whittington Health NHS Trust,4,7,3,2,1,1,0
Health Education England,4,13,4,1,0,3,0
Manchester University NHS Foundation Trust,4,7,6,3,0,1,0
Western Sussex Hospital Trust,4,5,6,2,0,2,0
Salford Royal Hospital,4,6,4,3,0,1,0
Royal Free Hospital,4,4,3,3,0,1,0
The Dudley NHS Trust,4,4,4,4,0,0,0
National Highways,4,7,3,2,0,1,1
Cheshire East Council,4,8,7,3,1,0,0
Wiltshire Police,4,11,4,2,1,1,0
Coventry & Warwickshire Partnership NHS Trust,4,4,1,1,0,3,0
Royal United Hospitals,4,5,2,2,0,2,0
Kernow Clinical Commissioning Group,4,7,3,2,0,2,0
Cornwall Partnership Foundation Trust,4,4,3,3,0,1,0
Wye Valley NHS Trust,4,4,3,2,0,2,0
Sheffield City Council,4,4,3,3,0,1,0
Maritime and Coastguard Agency,4,8,6,2,2,0,0
West Yorkshire Police,4,8,3,1,0,3,0
St George’s University Hospitals NHS Foundation Trust,4,8,4,1,0,3,0
South Central Ambulance Service NHS Trust,4,8,4,1,1,2,0
CNWL NHS Trust,4,12,4,1,0,3,0
Dorset Police,4,11,10,2,1,1,0
Essex Partnership University Trust,4,7,0,0,0,2,2
Driver and Vehicle Standards Agency,4,7,2,1,0,3,0
Dyfed-Powys Police,4,7,3,2,0,2,0
Welsh Ambulance Service,4,6,3,2,0,2,0
HMP Woodhill,4,7,3,0,1,3,0
Welsh Ambulance NHS Trust,4,6,6,4,0,0,0
East London Foundation Trust,4,6,3,1,1,1,1
Nottinghamshire Healthcare NHS Trust,4,8,4,1,0,3,0
South Western Railway,4,10,5,0,2,2,0
East of England Ambulance Service NHS Trust,4,14,0,0,0,3,1
Calderdale and Huddersfield NHS Trust,4,5,3,1,0,3,0
Norfolk and Suffolk NHS Foundation Trust,4,8,5,2,1,1,0
Southern Health NHS Trust,4,8,5,1,2,1,0
Hywel Dda University Health Board,4,10,2,1,0,3,0
Camden and Islington NHS Foundation Trust,4,6,4,2,0,2,0
Royal College of Radiologists,4,12,4,1,1,1,1
Staffordshire County Council,4,4,3,3,0,1,0
Department of Business Energy and Industrial Strategy,4,7,5,1,0,3,0
University Hospitals of Leicester NHS Trust,4,7,4,0,2,1,1
Secretary of State for Justice,4,9,0,0,0,4,0
The Department for Work and Pensions,4,8,4,1,1,2,0
Royal Pharmaceutical Society,4,11,2,1,1,2,0
Black Country Partnership NHS Trust,4,9,9,4,0,0,0
Dept. of Health and Social Care,4,10,7,2,0,2,0
New Cross Hospital,4,6,1,0,0,4,0
Royal Cornwall Hospital,4,4,2,3,0,1,0
British Transport Police,4,26,2,1,0,0,3
Birmingham Community Healthcare NHS Foundation Trust,4,9,5,2,1,1,0
SoS for Health and Social Care,4,6,5,3,0,1,0
OFSTED,4,8,3,1,0,2,1
Stepping Hill Hospital,4,8,5,3,0,1,0
Tameside and Glossop CCG,4,9,1,0,1,3,0
The College of Policing,3,7,3,1,0,2,0
Leed City Council,3,4,2,2,0,1,0
Lincolnshire County Council Highways Department,3,3,2,2,0,1,0
Cheshire East Highways Department,3,6,6,3,0,0,0
Leeds and York Partnership NHS Foundation Trust,3,3,3,3,0,0,0
The Great Western Hospital NHS Foundation Trust,3,4,1,1,0,2,0
The Highways Agency,3,3,1,1,0,2,0
The Caravan Club,3,9,5,0,0,3,0
The Northern Care Alliance NHS Trust,3,3,4,2,0,1,0
The Nursing Midwifery Council,3,10,4,0,1,2,0
Royal College of Surgeons,3,10,5,0,1,2,0
The Office of Rail & Road,3,8,4,0,1,2,0
The Priory Group,3,3,2,2,0,1,0
Royal College of Pathologists,3,11,0,0,0,3,0
London Borough of Camden,3,3,2,2,0,1,0
Royal College of Midwives,3,9,2,1,0,2,0
Gloucestershire County Council,3,4,2,2,0,1,0
Lancashire Constabulary,3,22,5,0,2,0,1
Heathview Medical Practice,3,5,4,2,0,1,0
Sheffield Children’s NHS Trust,3,3,3,1,0,1,1
Devon County Council,3,4,1,1,0,2,0
Devon NHS Trust,3,8,7,2,1,0,0
Food Standards Agency,3,11,9,1,1,1,0
Solent NHS Trust,3,5,2,2,0,1,0
Devon and Cornwall Police,3,11,6,1,2,0,0
St Peter’s Hospital,3,5,1,1,0,2,0
Doncaster Royal Infirmary,3,3,3,3,0,0,0
Doncaster and Bassetlaw Hospital NHS Foundation Trust,3,4,2,2,0,1,0
Dorset Healthcare University NHS Foundation Trust,3,5,0,0,0,3,0
St George’s University Hospital,3,7,1,0,0,3,0
London Borough of Lewisham,3,10,4,0,1,2,0
Product Safety and Standards,3,4,1,0,0,3,0
Queen’s Hospital,3,4,2,2,0,0,1
Egton Medical Information Systems,3,8,5,1,0,2,0
South Western Ambulance Service,3,7,1,0,1,2,0
East Sussex County Council,3,4,2,2,0,1,0
Resuscitation Council,3,11,11,3,0,0,0
Department for Housing Communities and Local Government,3,9,2,2,0,1,0
Royal College of GPs,3,10,7,0,1,2,0
Sunderland City Council,3,3,1,1,0,2,0
Lancashire Care NHS Trust,3,3,2,2,0,1,0
HMP Durham,3,6,6,3,0,0,0
HM Prison Service,3,6,2,0,0,3,0
Pennine Acute NHS Trust,3,5,4,0,0,3,0
Kettering General Hospital NHS Foundation Trust,3,3,1,1,0,1,1
Tameside and Glossop Care NHS Trust,3,4,2,1,0,2,0
Cornwall NHS Trust,3,8,5,1,1,1,0
Royal Berkshire NHS Foundation Trust,3,7,2,2,0,1,0
TFL,3,4,3,2,0,1,0
Swindon Borough Council,3,4,2,1,0,2,0
Salford Royal NHS Trust,3,5,4,2,0,1,0
Cwm Taf Health Board,3,4,3,2,0,1,0
Surrey and Borders Partnership NHS Foundation Trust,3,3,1,1,0,2,0
James Paget University Hospital,3,6,6,2,1,0,0
Surrey & Borders Partnership NHS Trust,3,8,5,1,1,1,0
Denbighshire County Council,3,7,1,0,0,2,1
General Pharmaceutical Council,3,6,1,0,1,2,0
,3,8,2,1,2,0,0
HMPPS,3,4,2,1,0,2,0
West London Mental Health Trust,3,4,1,1,0,2,0
North Yorkshire County Council,3,4,3,2,0,1,0
Birmingham Women’s and Children’s NHS Trust,3,8,4,0,0,3,0
Brighton and Sussex University Hospitals NHS Trust,3,8,3,1,0,2,0
Betsi Cadwaladr University Local Health Board,3,3,2,2,0,0,1
Nottinghamshire County Council,3,5,0,0,0,3,0
Various,3,3,8,0,0,3,0
Various recipients – please see the report,3,3,32,1,0,2,0
Bedford Hospital NHS Trust,3,3,2,2,0,1,0
Advisory Council on the Misuse of Drugs,3,7,2,0,1,2,0
Turning Point,3,6,6,3,0,0,0
National Police Chiefs Council,3,10,2,0,0,3,0
Whittington Hospital NHS Trust,3,4,4,3,0,0,0
Medway Maritime Hospital,3,3,2,2,0,1,0
Medway NHS Trust,3,3,0,0,0,3,0
North Cumbria University Hospitals NHS Trust,3,4,4,3,0,0,0
Barts NHS Trust,3,4,3,2,0,1,0
West Wales General Hospital,3,3,4,2,0,1,0
Luton and Dunstable Hospital,3,6,6,1,1,1,0
Trafford Borough Council,3,6,4,0,0,3,0
Trafford Clinical Commissioning Group,3,4,5,2,0,1,0
Warwick Hospital,3,3,3,3,0,0,0
Mid Yorkshire NHS Trust,3,5,2,1,0,2,0
Mid and South Essex NHS Foundation Trust,3,7,1,1,0,1,1
Norfolk County Council,3,8,7,3,0,0,0
Northern Health and Social Care Trust,3,4,3,2,0,0,1
Welsh Ambulance Trust,3,4,3,2,0,1,0
NHS England & NHS Improvement,3,16,9,0,1,2,0
Bedfordshire Police,3,4,2,1,1,1,0
NHS Northern Eastern and Western Devon Clinical Commissioning Group,3,8,6,2,0,1,0
North West Boroughs Healthcare NHS Foundation Trust,3,3,2,2,0,1,0
Yorkshire Ambulance Service,3,4,3,2,1,0,0
The Showmen’s Guild of Great Britain,3,9,5,0,0,3,0
University Hospital of Derby and Burton,3,7,5,1,2,0,0
North West Anglia NHS Foundation Trust,3,8,5,1,1,1,0
North Manchester General Hospital,3,4,2,2,0,1,0
London Borough of Tower Hamlets,3,7,5,1,1,1,0
Maritime Coastguard Agency,3,8,7,2,1,0,0
NHS Wales,3,10,5,1,0,2,0
University Hospital Lewisham,3,3,2,2,0,1,0
London North West University Healthcare NHS Trust,3,10,3,1,1,1,0
University Hospitals Bristol,2,4,2,1,0,1,0
Merseyside Police,2,16,1,0,1,0,1
Southampton General Hospital,2,3,0,0,0,2,0
Barnsley District General Hospital,2,3,1,0,0,2,0
Barnet Enfield and Haringey Mental Health NHS Trust,2,4,1,0,0,1,1
Bolton Council,2,5,4,1,0,1,0
Police and Crime Commissioner,2,5,6,2,0,0,0
Warwickshire Police,2,3,2,1,1,0,0
Homerton University Hospital,2,3,2,1,0,1,0
Barchester Healthcare,2,3,2,1,1,0,0
Watford General Hospital,2,2,2,2,0,0,0
Banes Park and Services,2,9,3,0,0,2,0
Southampton County Council,2,3,0,0,0,2,0
Walsall Manor Hospital,2,3,4,1,0,1,0
Home Secretary,2,4,2,0,0,2,0
Sunrise Senior Living,2,3,3,2,0,0,0
Baedling Manor Care Home,2,2,2,2,0,0,0
South Western Ambulance NHS Foundation Trust,2,6,2,1,0,0,1
South West Yorkshire NHS Trust,2,3,0,0,0,2,0
South West London and St George’s Mental Health NHS Trust,2,2,1,1,0,1,0
Queens Elizabeth Hospital NHS Trust,2,2,2,2,0,0,0
BT,2,6,0,0,0,2,0
Hillingdon Hospital NHS Trust,2,6,0,0,0,2,0
South Manchester University Hospital NHS Trust,2,2,2,2,0,0,0
Epsom & St Helier University Hospital NHS Trust,2,7,4,0,1,1,0
BCP Council,2,2,1,1,0,1,0
East Leicestershire and Rutland CCG,2,4,5,1,0,1,0
Powys Teaching Health Board,2,8,2,1,0,1,0
East & North Hertfordshire NHS Trust,2,2,1,1,0,1,0
Birmingham & Solihull Mental Heath NHS Trust,2,2,1,1,0,1,0
Doncaster and Bassetlaw Hospital NHS Trust,2,4,1,1,0,1,0
Incommunities,2,2,1,1,0,1,0
St Pancras Hospital,2,2,2,2,0,0,0
St Richard’s Hospital,2,7,2,0,0,2,0
Prestwich Hospital,2,3,3,2,0,0,0
Staffordshire Fire and Rescue Service HQ,2,2,2,2,0,0,0
Devon and Cornwall Constabulary,2,2,4,0,0,2,0
University Hospitals Coventry and Warwickshire NHS Trust,2,3,1,1,0,1,0
North Essex Mental Health Partnership Trust,2,2,0,0,0,2,0
Derriford Hospital,2,3,2,1,1,0,0
Birmingham Cross City CCG,2,6,6,2,0,0,0
Stockport Borough Council,2,5,5,2,0,0,0
North Lincolnshire Council,2,2,1,1,0,1,0
Derriford Hospital Trust,2,2,0,0,0,2,0
Black Country NHS Foundation Trust,2,4,2,0,0,2,0
Stoke on Trent City Council,2,2,2,2,0,0,0
Portsmouth City Council,2,2,2,2,0,0,0
North East Ambulance Service,2,2,0,0,0,2,0
Dorset Highways Department,2,2,2,2,0,0,0
South Lincolnshire Clinical Commissioning Group,2,9,3,0,1,1,0
International Academics of Emergency Dispatch,2,2,2,1,0,1,0
Virgin care Coventry LLP,2,6,0,0,0,2,0
North Cumbria integrated Care Trust,2,2,1,1,0,1,0
Dudley Group of Hospitals NHS Trust,2,3,3,2,0,0,0
Dudley and Walsall Mental Health NHS Trust,2,3,2,1,0,1,0
Department of Environment Food and Rural Affairs,2,9,3,0,0,2,0
Department of Culture Media and Sport,2,7,4,0,1,1,0
North Cumbria University NHS Trust: NHS England,2,4,4,2,0,0,0
St Andrews Healthcare,2,2,0,0,0,2,0
Department of Communities and Local Government,2,4,2,0,0,2,0
EMIS Health,2,4,4,0,0,2,0
South London & Maudsley NHS Trust,2,2,2,2,0,0,0
The Royal Yachting Association,2,4,0,0,0,2,0
Essex Highways Agency,2,2,0,0,0,2,0
HM Inspector of Railways,2,4,2,0,1,1,0
HMP Dovegate,2,2,2,2,0,0,0
HMP Birmingham,2,4,3,1,0,1,0
Worcester Health and care Trust,2,3,2,1,0,1,0
HMP Bedford,2,4,1,0,0,2,0
HMCTS,2,5,4,1,0,1,0
Royal National Lifeboat Institute,2,6,4,0,2,0,0
Royal National Lifeboat Institution,2,4,4,2,0,0,0
Wolverhampton City Council,2,5,1,0,0,2,0
HM Inspector of Prisons,2,8,0,0,0,2,0
HMP Exeter,2,3,1,1,0,1,0
Royal Bolton Hospitals NHS Trust,2,4,5,1,0,1,0
Hampshire Constabulary,2,6,0,0,0,2,0
National Fire Chiefs,2,2,0,0,0,2,0
Adult Safeguarding Kent County Council,2,3,1,1,0,1,0
Royal United Hospitals Bath NHS Foundation Trust,2,7,0,0,0,1,1
Adult Social Services,2,4,3,2,0,0,0
Guys & St Thomas NHS Trust,2,5,4,1,0,1,0
Greater Manchester West Mental Health NHS Trust,2,4,3,1,0,1,0
National Association of Ambulance Medical Directors,2,7,2,0,0,2,0
HMP Hewell,2,3,0,0,0,2,0
BAE Systems Ltd,2,4,4,2,0,0,0
NHS Lothian Scotland,2,2,0,0,0,2,0
Royal College of Paediatricians,2,11,5,0,0,2,0
HMP Wymott,2,2,2,0,0,2,0
HMP Wormwood Scrubs,2,2,1,1,0,1,0
2gether NHS Trust,2,3,1,1,0,1,0
HMP Winchester,2,6,2,0,0,2,0
HMP Wandsworth,2,4,1,0,0,2,0
5 Borough Partnership NHS Trust,2,4,5,1,1,0,0
HMP Swansea,2,4,3,1,0,1,0
HMP Rochester,2,5,2,1,0,1,0
Royal Free London NHS Trust,2,3,2,1,0,1,0
Royal College of Surgeons of England,2,5,1,1,0,1,0
HMP Preston,2,5,1,0,0,2,0
HMP Portland,2,3,1,1,0,1,0
Wythenshawe Hospital,2,2,0,0,0,2,0
HMP Lindholme,2,6,1,1,0,1,0
HMP Leeds,2,2,2,2,0,0,0
Royal Devon and Exeter NHS Trust,2,4,4,2,0,0,0
Royal College of Nursing,2,6,2,1,0,1,0
Hampshire and Isle of Wight CCG,2,2,0,0,0,2,0
Wiltshire Council,2,4,0,0,0,2,0
Greater Manchester NHS Area Team,2,4,4,2,0,0,0
West Mercia Police,2,2,2,1,0,1,0
Herefordshire Council,2,3,2,1,0,1,0
Herefordshire and Worcestershire Health and Care NHS Trust,2,4,0,0,0,2,0
Forward Trust,2,5,0,0,0,1,1
Shropshire Community Health NHS Trust,2,3,2,1,0,1,0
Hertfordshire Constabulary,2,4,1,1,0,1,0
"Foreign, Commonwealth & Development Office",2,5,0,0,0,2,0
Hertfordshire County Council,2,2,1,1,0,1,0
Ford UK,2,4,3,0,1,1,0
Milton Keynes Hospital,2,2,2,2,0,0,0
Rotherham Doncaster and South Humber NHS Foundation Trust,2,2,3,1,0,1,0
Highway and Transport  Wiltshire Council,2,2,2,2,0,0,0
Milton Keynes Council,2,3,3,2,0,0,0
Highways Agency,2,2,0,0,0,2,0
University College London Hospitals NHS Trust,2,2,1,1,0,0,1
South East Ambulance Service,2,3,3,2,0,0,0
RSSB,2,2,0,0,0,2,0
Military of Defence,2,2,2,2,0,0,0
Avon and Wiltshire NHS Mental Health Trust,2,5,4,1,0,1,0
New Lodge Nursing Home,2,2,1,1,0,1,0
Frimley Park Hospital,2,2,1,1,0,1,0
West Park Hospital NHS Trust,2,3,0,0,0,2,0
West Suffolk Hospital,2,3,1,1,0,1,0
Advisory Panel on Deaths in Custody,2,8,0,0,0,2,0
Greater Manchester Combined Authority,2,4,2,1,0,1,0
SECAMBS,2,4,3,1,0,1,0
Sainsbury’s,2,4,3,0,0,1,0
Wigan Council,2,6,2,0,0,2,0
Health and Care Professions Council,2,6,1,1,0,0,1
Gloucestershire NHS Trust,2,3,0,0,0,2,0
Whirlpool UK Appliances,2,2,2,2,0,0,0
Gloucestershire Care Services NHS Trust,2,2,1,1,0,1,0
Road Haulage Association,2,8,6,1,0,1,0
George Eliot Hospital,2,2,0,0,0,2,0
George Eilot Hospital NHS Trust,2,4,3,1,0,1,0
National Trust for the Isle of Wight,2,4,2,0,0,2,0
West Yorkshire Integrated Care Board,2,8,0,0,0,0,2
Gateshead Health NHS Trust,2,2,0,0,0,2,0
GMMH NHS Trust,2,2,0,0,0,2,0
GEOAmey,2,9,6,1,0,1,0
Borough Care,2,2,2,2,0,0,0
Dorset Council,2,4,4,2,0,0,0
UCAS,2,5,4,1,1,0,0
Cormac,2,4,2,1,0,1,0
The Cambian Group,2,3,2,1,0,1,0
Tameside Metropolitan Borough Council,2,4,3,1,0,1,0
Bury Metropolitan Borough Council,2,4,4,2,0,0,0
The Canal and River Trust,2,4,1,1,0,1,0
The National Institute for Health and Care Excellence,2,7,0,0,0,2,0
Bristol University,2,3,3,0,0,2,0
Tameside Hospital NHS Trust,2,2,2,2,0,0,0
Cornwall and Isles of Scilly Safeguarding Adults Board,2,3,0,0,0,2,0
Manchester City Council,2,4,1,0,1,0,1
Bristol Community Health,2,3,1,0,0,2,0
Lincolnshire Police,2,2,0,0,0,2,0
MFT,2,2,1,1,0,1,0
County Durham and Darlington NHS Trust,2,3,2,1,0,1,0
The Care Quality Commission,2,6,4,1,1,0,0
Nottingham City Clinical Commissioning Groups,2,12,6,0,1,1,0
Care UK Clinical Services,2,6,3,0,1,1,0
Oldham Council,2,3,3,1,0,1,0
One Hosing Group,2,3,2,1,0,1,0
Kent and Medway NHS Trust,2,2,0,0,0,2,0
Tameside CCG,2,3,0,0,0,2,0
Coventry and Rugby Clinical Commissioning Group,2,6,0,0,0,2,0
Trading Standards,2,2,0,0,0,2,0
CAFCASS,2,9,1,0,0,2,0
Lancashire and South Cumbria Integrated Care Board,2,16,0,0,0,1,1
Tameside and Glossop Clinical Commissioning Group,2,4,2,1,0,1,0
Coventry and Warwickshire NHS Trust,2,2,1,1,0,1,0
Tandridge District Council,2,4,0,0,0,2,0
Northern Care Alliance,2,6,0,0,0,1,1
The Highways Authority,2,2,0,0,0,2,0
Tower Hamlets Borough Council,2,3,2,1,0,1,0
Northumbria Police,2,5,4,1,1,0,0
