sent_to,count
University Hospital of Derby and Burton,2
Brighton and Sussex University Hospitals NHS Trust,2
Watford General Hospital,2
Bedfordshire Police,2
Warwickshire Police,2
Walsall Manor Hospital,2
University Hospital Southampton NHS Foundation Trust,2
University Hospital Lewisham,2
Turning Point,2
Betsi Cadwaladr University Local Health Board,2
Whittington Hospital NHS Trust,2
UCAS,2
British Cycling,2
British Society for Allergy and Clinical Immunology,2
United Lincolnshire Hospitals NHS Trust,2
Whirlpool (UK) Appliances,2
Clinical Commissioning Groups,2
The Priory Group,2
Camden and Islington NHS Trust,2
"Bournemouth, Christchurch and Poole Council",2
Yorkshire Ambulance Service,2
CNWL NHS Trust,2
Black Country Partnership NHS Foundation Trust,2
Borough Care,2
University Hospitals of Leicester NHS Trust,2
Wye Valley NHS Trust,2
The Commissioner of Police of the Metropolis,2
Barts NHS Trust,2
Various,2
Trafford Clinical Commissioning Group,2
BAE Systems Ltd,2
Bury Metropolitan Borough Council,2
Trafford Metropolitan Borough Council,2
The Care Quality Commission,2
Wandsworth Borough Council,1
Police of Metropolis,1
Welsh Ambulance Service,1
Welsh Ambulance Service Trust,1
President of the Royal College of Pathologists,1
Warwickshire County Council,1
Park & Francis Surgery,1
Premier Rescue Ambulance Services,1
Welsh Ambulance Services,1
Warwick Medical School,1
Parkhill Group of Companies,1
Welsh Ambulance Services NHS Trust.,1
Park Holiday UK Limited,1
"Wandsworth, Merton, Richmond and Sutton Borough Council",1
Practice Plus Group,1
Powys Teaching Health Board,1
Portsmouth Motocross Club,1
Walsall Metropolitan Borough Council,1
Peel Medical Practice,1
"Patient Safety Lead, County Durham and Darlington NHS Foundation Trust",1
Police and Prisons Ombudsman,1
Peak Valley Housing Association,1
Wells Pharmacy,1
We Are With You charity,1
Pennine Care Health Foundation NHS Trust,1
Wayland Farms Limited,1
Waveney River Centre,1
Peel Holdings,1
Pentree Lodge Home,1
Persimmon Homes Severn Valley,1
Prestwich Hospital,1
Pfizer,1
Wellsky,1
Wells Road Surgery,1
Peabody Trust,1
Waste Industry Safety & Health Forum,1
Philips Electronics UK Ltd,1
Pavillions,1
Physio-Control UK Ltd,1
Pennine Acute Hospital NHS Trust,1
Pinderfields General Hospital,1
Pluss Work Choice,1
Persona Care and Support Ltd,1
Prison and Probation service,1
Pret-a-Manger,1
Primary Care Support England,1
Redbridge CCG,1
Reed Nursing Trust,1
Regard Care,1
Reinbek Care Home,1
Renal Association,1
W M Morrisons PLC,1
Richmond Medical Centre,1
Ritchie Street Group Practice,1
W E Rawson Ltd,1
Rochcare,1
Rochdale Borough Council,1
"Rochdale, Heywood and Middleton Clinical Commissioning Group",1
Roche Diagnostics Limited,1
Rope Green Medical Centre,1
Roseberry Care Centres,1
Rosedale Care Home,1
Volvo Group (UK) Limited,1
Virgin Care,1
Rosewood Healthcare Group,1
Rosewood Lodge Nursing Home,1
Rossendale Nursing Home,1
Rossmere Park Care Home,1
Rotherham Borough Council,1
Rotherham Hospital NHS Foundation Trust,1
Rotherham NHS Trust,1
Vascular Access Society of Britain and Ireland,1
Various (please see PFD report),1
Royal Bolton Hospitals NHS Trust,1
Royal Borough of Greenwich,1
Reckitt Benckisher Healthcare (UK) Ltd,1
Ranc Care Home Ltd,1
Ramsay Healthcare UK,1
"Public Health, Suicide Prevention Group",1
Prime Life Limited,1
Princess Alexander Hospital,1
Princess Royal Hospital,1
Priory Group of Hospitals,1
Walsall Metropolitan Borough,1
Priory Hospital Roehampton,1
Welsh Cycling,1
Walsall Mental Health Partnership,1
Probation Service,1
Proprietary Association,1
Walsall Manor Hospital Trust,1
Public Health,1
Public Health for the Isle of Wight,1
Walsall MBC,1
Rambleguard Ltd,1
Walsall Local Authority,1
Queen Elizabeth Hospital King’s Lynn NHS Foundation Trust,1
Queen Elizabeth Hospital NHS Trust,1
Queen Mary’s Hospital for Children,1
Queen Victoria NHS Trust,1
Queens Elizabeth Hospital NHS Trust,1
Wales prevention of future deaths reports (2019 onwards),1
RCA,1
RCPLT,1
RDaSH NHS Trust,1
RICS,1
Radcliffe Investment Properties,1
Radcliffe Manor House Care Home,1
P3 Charity,1
The British Vehicle Rental and Leasing Association.,1
Welsh Government Office,1
North East London Foundation Trust Goodmayes Hospital,1
Wolverhampton City Council,1
North East London Trust,1
North East London NHS Trust,1
Woodlands Hospital,1
North East London NHS Foundation Trust – Child & Adult Mental Health Services,1
North East London Foundation trust,1
Woodley Centre Surgery,1
North West Anglia NHS Trust,1
Woolwich Station Medical Centre,1
Worcestershire Acute Hospital Trust,1
Worcestershire Acute Hospitals NHS Trust,1
Worcestershire Acute Hospitals NHS trust,1
North Devon County Council,1
Worcestershire Health and Care NHS Trust,1
North Essex University NHS Trust,1
North Lincolnshire Council,1
Wirral University Hospital Trust,1
North Middlesex University Hopsital,1
North Middlesex University Hospital NHS Trust,1
Windmill House Care Home,1
Winchmore Hill Practice,1
North Somerset Council,1
North Tyneside General Hospital,1
North Tyneside Hospital,1
North Wales Police,1
Wilsden Medical Practice,1
North West Ambulance Service Trust NHS,1
North West Anglia NHS Foundation Trust,1
William Perkin High School,1
Wigan Life Centre,1
Wigan Council,1
North Cumbria University Hospitals NHS Trust,1
Worcestershire Health and Care Trust,1
North Cumbria University Hospital NHS Trust,1
York Teaching Hospital NHS Trust,1
National Police Council,1
Zinnia Healthcare Limited,1
Your Health Limited,1
National Screening Committee,1
National Trading Standards,1
National Trading Standards Board,1
Yorkshire Water PLC,1
National Trust for the Isle of Wight,1
National Trust on the Isle of Wight,1
Neasham Road Surgery,1
Yorkshire Care Equipment,1
Yorkshire Ambulance Service NHS Foundation Trust,1
Neville Hall Hospital,1
York Teaching Hospitals NHS Foundation Trust,1
New Court Surgery,1
North Cumbria Integrated Care Trust,1
New Cross Hospital,1
Newark and Sherwood,1
Newcastle Upon Tyne City Council,1
Next Stage,1
Nightingale Hospital,1
Wychall Lane Surgery,1
"Wrightington, Wigan and Leigh NHS Trust",1
Norfolk County Council- Adult Social Care,1
Norfolk and Norwich University Hospital,1
Norfolk and Suffolk NHS Foundation Trust,1
Norfolk and Suffolk NHS Trust,1
North & Mid Wales Trunk Road Agency,1
Wrightington Wigan and Leigh NHS Foundation Trust,1
Wrexham County Council,1
Wigan Borough Clinical Commissioning Group,1
North West Boroughs Healthcare NHS Foundation Trust,1
Oxleas NHS Mental Trust,1
Oadby and Wigston Borough Council,1
West Norfolk CCG,1
West Quay Surgery,1
Ofsted,1
Office of the Traffic Commissioner,1
Occupational Safety Manager,1
Oasis Recovery Communites,1
OUH NHS Foundation Trust,1
Whittington Hospital,1
ORCi,1
Nuttall Ltd,1
Nursing & Midwifery Council,1
Nuffield Health,1
Nottinghamshire Safeguarding Children Board,1
West Suffolk Hospital,1
Old Catton Medical Practice,1
Oldham Care Commissioning Group,1
West Midlands Fire Service,1
One Hosing Group,1
One Housing Group,1
West Mercia Police,1
West Mercia Constabulary,1
Options for Care Ltd,1
Oxford Health NHS Foundation Trust,1
Royal Brompton Hospital,1
Oxford University Hospitals NHS Foundation Trust,1
Oxford University Hospitals NHS Trust,1
Oxfordshire County Council,1
Oxlea NHS Trust,1
Oxleas NHS Foundation,1
West London Mental Health Trust,1
West Ambulance Service Trust,1
West Sussex Clinical Commissioning Group,1
West Timperley Medical Centre,1
Nottingham West,1
Northern Rail Limited,1
North West Boroughs Healthcare NHS Trust,1
Whitelock Development,1
North Yorkshire County Council,1
North Yorkshire Police,1
North east Ambulance Service NHS Trust,1
Whiston Hospital,1
North west Ambulance Service,1
Northampton County Council,1
Whirlpool UK,1
Northamptonshire Healthcare NHS Trust,1
Northamptonshire Police,1
Northern Care Alliance NHS Group,1
Northern Rail,1
Whipps Cross Hospital,1
"Northern, Eastern and Western Devon Clinical Commissioning Group",1
West Yorkshire Fire and Rescue Service,1
Weymouth Street Hospital,1
Northfield Medical Practice,1
Northumberland Fire and Rescue Service,1
Northumbria Health Care Trust,1
Northumbria Health Trust,1
Westlands Care Home,1
Norwich Practices Health Centre,1
Nottingham City Clinical Commissioning Group,1
Nottingham City Clinical Commissioning Groups,1
Nottingham City Council,1
Western Sussex Hospitals NHS Trust,1
Nottingham North and East,1
Nottingham Police,1
Western Sussex Hospital Trust,1
Royal Borough of Kensington and Chelsea,1
Royal College of Paediatricians,1
Royal College Emergency Medicine,1
Staffordshire Police,1
St Mary’s Health Centre,1
The Royal Bolton Hospital,1
The Royal Albert Edward Infirmary,1
St Mary’s Hospital NHS Trust,1
The Roundwood Medical Centre,1
The Road Haulage Association,1
St Peter’s Hospital,1
St Richard’s Hospital,1
St Thomas Hospital,1
St Thomas NHS Foundation Trust,1
St. George’s University Hospitals NHS Foundation Trust,1
The Queen Elizabeth Hospital,1
Stafford and Surrounds Clinical Commissioning Group,1
Staffordshire CCG,1
The Princess Alexandra Hospital NHS Trust,1
Suffolk Safeguarding Partnership,1
The Portland Hospital,1
StockXS Limited,1
The Office of Rail and Road,1
The Office of Rail & Road,1
The Nursing Midwifery Council,1
The North West Ambulance Service,1
Stockport Council,1
The New Lodge Nursing Home,1
Stockport NHS Foundation trust,1
The National Police Chiefs Council,1
Stoke on Trent City Council,1
Stoke-on-Trent City Council,1
Stonefield Street Surgery,1
"The National Food Crime Unit, Food Standard Agency",1
The Royal College of General Practitioners,1
St James’s University Hospital,1
St Helens Clinical Commissioning Group,1
St Giles Nursing Home,1
The Whittington Hospital NHS Trust,1
South West National Trust,1
The Wallich Centre,1
South West and St George’s Mental Health Trust,1
South Western Ambulance NHS Foundation Trust,1
South Western Ambulance Service,1
South Western Railway,1
South Western Railways,1
South Yorkshire Police,1
South Yorkshire Police HQ,1
The Student Health Service,1
The Society of Radiographers,1
"Speaker’s Counsel, for the attention of the Parliamentary Authorities at the Palace",1
Specsavers UK,1
Sphere Risk & Safety Management Ltd,1
Spire Bristol Hospital,1
Spire Harpenden Hospital,1
Sports Camp Tirol,1
St Chads Medical Practice,1
St Charles Hospital,1
The Sixth Form Colleges Association,1
St Georges University Hospitals NHS Foundation Trust,1
The Secretary of State for the Home Department,1
The Secretary of State for Transport,1
The Samaritans,1
The Royal Wolverhampton NHS Trust,1
St George’s Mental NHS Trust,1
St George’s University Hospitals NHS Trust,1
St Giles Care Home,1
Stoneham Bass,1
Sunderland City Council,1
South Tyneside and Sunderland NHS Trust,1
The Chief of the Secret Intelligence Service,1
The Department for Work and Pensions,1
TRU,1
Tameside & Glossop Integrated Care NHS Foundation Trust,1
Tameside Borough Council,1
Tameside Clinical Commissioning Group,1
Tameside Council,1
The Dalmeny Hotal,1
The Council of Hunting,1
The Cotswold Hunt,1
The Commissioner of City of London Police,1
The College of Policing,1
Tameside Metropolitan Borough Council,1
Tameside and Glossop CCG,1
Tameside and Glossop Care NHS Trust,1
Tameside and Glossop Clinical Commissioning Group,1
The National Counter Terrorism Security Office,1
The Chief Executive of National Highways,1
Tanglewood Cloverleaf Care Home,1
"Tees, Esk and Wear Valley NHS Trust",1
"Tees, Esk and Wear Valleys NHS Foundation Trust",1
Tesco Store PLC,1
Tettenhall Medical Practice,1
Teva UK Ltd,1
The Castle Rock Group,1
Thameside Prison,1
The AACE,1
The Advisory Council on the Misuse of Drugs,1
The Alexandra Court Care Home,1
The Bexley Medical Group,1
The Borchardt Medical Centre,1
Sydenham Green Group General Practice,1
Swiss Cottage Special School,1
Swindon Borough Council,1
The Difficult Airway Society,1
"Surface Transport, Transport for London",1
Surrey & Borders Partnership NHS Trust,1
Surrey Constabulary,1
The Moat Surgery,1
The Minister of State for Crime Prevention,1
The Mid Yorkshire Hospitals NHS Trust,1
The Medical Centre,1
The London Ambulance Service,1
Surrey Downs Clinical Commissioning Group,1
The Limes Sheltered Housing,1
Surrey Local Highways Services Group Manager,1
The Lakes Care Centre,1
Surrey and Borders Partnership NHS Trust,1
The Hub,1
The Home Secretary,1
Suspension Bridge Trustees,1
Sussex Community NHS Foundation Trust,1
The Highways Agency,1
The Great Western Hospital NHS Foundation Trust,1
Sussex Partnership Foundation NHS Trust,1
The Grange Care Centre,1
The Garage Equipment Association,1
The Forest of Marston Vale Trust,1
The Foreign Secretary,1
Sustrans,1
Swanage Medical Practice,1
The Dudley NHS Trust,1
The Driver Vehicle Standards Agency,1
The Director-General of the Security Service,1
Thomas Cook,1
South Tyneside Council,1
Vantage Drilling Company,1
SHSC,1
University Hospitals Bristol,1
Royal Surrey County Hospital,1
Royal Sussex County Hospital,1
University Hospitals Birmimgham NHS Trust,1
University Hospital of North Midlands,1
"Royal United Hospital, Bath",1
Royal Wolverhampton NHS Trust,1
Royal Yachting Association,1
Rugby Football Union ,1
Rushcliffe,1
S & J Transport,1
SATH,1
University Hospital of North Midalnds,1
SECAMB,1
SW Yorks NHS Trust,1
United Lincolnshire Hospitals Trust,1
Safety Assessment Federation,1
Saffronland Homes limited,1
Sainsburys PLC,1
Sainsbury’s,1
Salford Royal Foundation Trust,1
University Hospital Birmingham NHS Trust,1
Salford Royal Hospital NHS Trust,1
University Hospital Birmingham NHS Foundation Trust,1
Salford Royal NHs Trust,1
Sandwell Borough Council,1
University College London Hospitals NHS Trust,1
University College Hospital NHS Trust,1
Sandwell Council,1
University College Hospital,1
Royal Pharmaceutical Society,1
Royal Orthopeadic Hospital,1
University Hospitals Bristol NHS Trust,1
University Hospitals Leicester NHS Trust,1
Vale of Glamorgan Council,1
Royal College of GPs,1
Urban Housing Services,1
University of the Arts London,1
Royal College of Midwives,1
Royal College of Nursing,1
Royal College of Nursing and Midwifery,1
Royal College of Obstetricians,1
University of South Wales,1
University of North Midlands Hospital NHS Trust,1
Royal College of Obstetrics and Gynaecology,1
The British Heart Foundation,1
University of Exeter,1
University of Birmingham,1
University Hospitals of North Midlands,1
Royal College of Psychiatrist,1
University Hospitals of Morecambe Bay NHS Trust,1
University Hospitals of Derby and Burton,1
Royal College of Surgeons of England,1
Royal Derby Hospital,1
Royal Devon and Exeter NHS Foundation Trust,1
Royal Docks Medical Practice,1
University Hospitals Sussex NHS Foundation Trust,1
University Hospitals North Midlands NHS Trust,1
Royal Free Hospital NHS Trust,1
Royal Free London NHS Trust,1
Royal Gwent Hospital,1
Royal Institute of British Architects,1
Royal Life Saving Society UK,1
Sandwell Local Authority,1
Sandwell and West Birmingham Hospitals NHS Trust,1
South Tees Hospitals NHS Foundation Trust,1
South Eastern Railways,1
SoS for Education,1
SoS – Dept. for Health,1
Social Services Truro Cornwall,1
Solihull Mental Health Trust,1
Somerset County Council,1
Trafford County Council,1
Trafford Council,1
Somerset NHS Foundation Trust,1
South Central Ambulance Service,1
Trading Standards Institute,1
Toxbase,1
Tower Hamlets Borough Council,1
Torbay and South Devon NHS Trust,1
South East Coast Ambulance Services,1
South Essex Partnership NHS Trust,1
Sandwell and West Birmingham NHS Trust,1
South Essex Partnership Trust,1
South Lincolnshire Clinical Commissioning Group,1
Tonic Construction Ltd,1
Together Housing,1
Timperley Care Home,1
South London Islamic Centre,1
South London and Maudesley NHS Trust,1
South London and Maudsley NHS Foundation,1
South London and Maudsley NHS Foundation Trust,1
Three Sisters Care Ltd,1
Thornton and Ross Ltd,1
South Staffordshire & Shropshire NHS Trust,1
South Staffordshire and Shropshire Healthcare NHS Trust,1
South Staffordshire and Shropshire NHS Trust,1
"Train Services, DLR",1
Slough Borough Council,1
Silver Birches Care Home,1
Shropshire Safeguarding Partnership,1
Sapphire House,1
Scania,1
Scottish Cycling,1
Seaton and Colyton Medical Practice,1
Secretary for Communities and Local Government,1
Secretary for State for Health,1
URBN UK Ltd,1
UNMH,1
UK Home Care,1
Secretary of State for the Home Department,1
Shaw Healthcare,1
Tynant Nursing Home,1
Twinglobe Care Homes Limited,1
Shawe Lodge,1
Sheffield CCG,1
Sheffield Children’s Hospital,1
Tunstall Response,1
Tricuro,1
Sheffield Children’s NHS Trust,1
Trent and Dove Social Housing,1
Treatment Direct Limited,1
Sheffield Council,1
Sheffield Hospitals NHS Trust,1
Transport for West Midlands,1
Sheffield Teaching Hospitals NHS Trust,1
Sherwood Forest Hospital Trust,1
Sherwood Forest Hospitals NHS Foundation Trust,1
Shindig Events Limited,1
Shropshire Community Health NHS Trust,1
South West Yorkshire Partnership,1
111 Service,1
National Police Chiefs Council,1
Compton Lodge Care Home,1
"Commissioning and Operations, Centra Midlands NHS",1
"Commissioning Manager, Drug and Alcohol Action Team",1
Commissioner for Highways,1
Comish Way Group Practise,1
Comfort Call Limited,1
College and Society of Radiographers,1
Cole Valley Care Ltd,1
Cole Valley Care Limited,1
Coed Duon Care Home,1
"Clinical, Commissioning Group",1
Clifton Court Nursing Home,1
Clarion Housing Group,1
City and County Healthcare Group,1
City Hospitals Sunderland NHS Trust,1
City Hospitals Sunderland NHS Foundation Trust,1
City Hospitals NHS Trust,1
Christian Congregation of Jehova’s Witnesses,1
Committee on Vaccination and Immunisation,1
Construction Industry Council,1
Chief Fire and Rescue Services,1
Construction Plant Hire Association,1
Croydon Health Services NHS Trust,1
Croydon Health Service,1
Croydon CCG,1
Crossroads House Care Home,1
"Crime, Policing and Fire Service",1
Cricket Green Medical Practice,1
Coxbench Hall Residential Home,1
Cowes Week Limited,1
Coventry University,1
Coventry & Warwickshire NHS Trust,1
"County Durham and Darlington NHS Trust, Grosvenor Park Care Home",1
County Durham and Darlington NHS Trust,1
Cornwall Partnershipship NHS Trust,1
Cornwall Partnership (Foundation) Trust,1
Cornwall Health,1
Conway County Council,1
"Consultant Psychiatrist, Keats House, London",1
Chief Inspector of Prisons,1
Chief Coroner of England and Wales,1
Calderdale Metropolitan Borough Council,1
Caring Homes Healthcare Group Limited,1
Careworld London Limited,1
Care UK Clinical Services,1
Care Quality Commission (CQC),1
Care Outlook Ltd,1
Care Inspectorate Wales,1
Care Inn Limited,1
Care First Class UK Limited,1
Care Agency,1
Cardiff and the Vale University Health Board,1
Cardiff and Vale Health Board,1
Cardiff City Council,1
Capital Karts Trading Ltd,1
Canary Wharf Group PLC,1
Canal and River Trust,1
Camino Healthcare,1
Camden Council,1
Camden & Islington NHS Foundation Trust,1
Carillion,1
Carlsberg Supply Co Ltd,1
Chief Constable of Warwickshire Police,1
Caterlink,1
Chief Constable of Lincolnshire,1
Chesterfield Royal Hospital,1
Chester Hospital NHS Trust,1
Cherish Home Care,1
Chelsea & Westminster Hospital,1
Chartered Institution of Waste Management,1
Charing Healthcare,1
Change Glow Live,1
Central and North West London NHS Foundation Trust,1
Central and North West Hospital NHS Trust,1
Central Surgery,1
Central Manchester University Hospitals NHS Foundation Trust,1
Central Manchester University Hospitals,1
Central London Community Healthcare NHS Trust,1
Central & North West London NHS NHS Trust,1
Central & North West London NHS Foundation Trust,1
Cedar Care Home,1
Crystal Care Limited,1
Cumberland Council,1
Cumbria County Council (Highways Department),1
East Kent University Hospital NHS Trust,1
ENT,1
EMIS Health,1
EMIS,1
EFAS,1
EAM Care Group,1
Dyfed-Powys Police,1
Dulwich Dive Club,1
Dudley and Walsall Mental Health NHS Trust,1
Dudley Group of Hospitals NHS Trust,1
Dudley Group of Hospitals NHS Foundation Trust,1
"Drug, Alcohol Action Team Cornwall Council",1
Drager,1
Downham Grange Care Home,1
Dorset Highways Departments,1
Dorset Highways Department,1
Dorset Healthcare University Hospital NHS Trust,1
Dorset Health Care University,1
Each Step Nursing Home,1
East Lancashire Hospitals NHS Trust,1
Cumbria County Council  ,1
East Lancashire NHS Trust,1
Emsworth Surgery,1
Emirates Airlines,1
"Emergency Preparedness, Resilience and Response",1
