sent_to,overdue,pending,received
Beech Cliffe Grange Care Homes,0,0,1
Beechdene Residential Home,1,0,0
Beechwood Lodge Care Home,0,0,1
Belgravia Care Home Ltd,0,0,1
Belong Village,0,0,1
Berkeley Home Health,0,0,1
Berkshire Healthcare NHS Foundation Trust,0,0,1
Betsi Cadwaladr University Health Board,1,0,19
Betsi Cadwaladr University Health Board (BCUHB),0,1,0
Betsi Cadwaladr University Local Health Board,0,0,2
Birmingham & Solihull Mental Health Trust,1,0,0
Birmingham & Solihull Mental Heath NHS Trust,0,0,1
Birmingham CCG,1,0,5
Birmingham City Council,4,0,2
Birmingham Community Healthcare NHS Foundation Trust,0,0,1
Birmingham Community Healthcare NHS Trust,2,0,1
Birmingham Community NHS Trust,1,0,0
Birmingham Cross City CCG,0,0,2
Birmingham Prison,1,0,0
Birmingham Woman’s and Children NHS Trust,1,0,0
Birmingham Women’s and Children’s NHS Trust,1,0,0
Birmingham and Solihull CCG,0,0,3
Birmingham and Solihull Mental Health Foundation Trust,0,0,1
Birmingham and Solihull Mental Health NHS Trust,3,0,2
Birmingham and Solihull Mental Health Trust,1,0,0
Black Country NHS Partnership Trust,0,0,1
Black Country Partnership NHS Foundation Trust,0,0,2
Black Country Partnership NHS Trust,0,0,1
Black Country Pathological Service,1,0,0
Blackpool CCG,0,0,1
Blackpool Teaching Hospital NHS Trust,0,0,1
Blackpool Teaching Hospitals NHS Foundation Trust,0,0,1
Blackpool Teaching Hospitals NHS Trust,0,0,5
Blaenau Gwent County Borough Council,0,0,1
Blenheim House Care Home,0,0,1
Bodmin Road Health Centre,0,0,1
Boehringer Ingelheim Limited,0,0,1
Boldmere Court Care Home,1,0,0
Bolton Council,0,0,1
Bolton Hospital NHS Trust,0,0,1
Bolton NHS Trust,0,0,1
Borough Care,0,0,2
Borough Care Limited,0,0,1
Borough Care Ltd,0,0,1
Bournemouth Borough Council,0,0,1
Bournemouth Churches Housing Association (BCHA),0,0,1
"Bournemouth, Christchurch and Poole Council",2,0,0
Bowden Derra Park Ltd,0,0,1
Brace Street Health Centre,0,0,1
Bradford District Care Foundation Trust,1,0,0
Bradford District Care NHS Trust,0,0,1
Bradford Royal Infirmary,0,0,1
Bradford Teaching Hospitals NHS Trust,0,0,2
Brancaster Care,0,0,1
Bridgend County Borough Council,0,0,1
Brighton & Sussex University Hospitals NHS trust,0,0,1
Brighton and Hove City Council,1,0,0
Brighton and Hove Clinical Commission Group,1,0,0
Brighton and Sussex University Hospital Trust,0,0,1
Brighton and Sussex University Hospitals,1,0,0
Brighton and Sussex University Hospitals NHS Trust,1,0,1
Brisdoc,1,0,0
Bristol Clinical Commissioning Group,1,0,0
Bristol Community Health,1,0,0
Bristol University,1,0,0
British Association of Dermatologists,1,0,0
British Cardiac Intervention Society,1,0,0
British Cardiovascular,1,0,0
British Cycling,0,0,2
British Kite Surfing Association,0,0,1
British Maternal and Fetal Medicine Society,1,0,0
British Medical Association,3,0,0
British Mountaineering Council,0,0,1
British National Formulary,1,0,0
British Parachute Association,0,0,1
British Renal Society,1,0,0
British Society for Allergy and Clinical Immunology,2,0,0
British Society of Gastroenterology,0,0,1
British Society of Interventional Radiology,1,0,0
British Standards Institution,0,0,1
British Sub Aqua Club,0,0,1
British Transplantation Society,1,0,0
British Travel Agents,0,0,1
Broadmoor Hospital,0,0,1
Bromford Lane Nursing Home,0,0,1
Bromley CCG,0,0,1
Brompton NHS Trust,1,0,0
Buckingham Council Children’s Services,0,0,1
Burton Croft Surgery,0,0,1
Bury Metropolitan Borough Council,0,0,2
"Bury, Rochdale & Oldham Clinical Commissioning Groups",1,0,0
Byron Hamburgers,1,0,0
CAFCASS,1,0,0
CAMHS,1,0,0
CLS Care Services,0,0,1
CMF Limited,0,0,1
CMHT Commissioners,0,0,1
CNWL NHS Trust,1,0,1
CORMAC – Cornwall Council – Highways Department,0,0,1
CRG Lead Commissioner,1,0,0
CWM Taff Health Board,1,0,0
CWM Taff University Board,0,0,1
Calderdale Council,1,0,2
Calderdale Metropolitan Borough Council,0,0,1
Cambridgeshire Constabulary,1,0,0
Camden & Islington NHS Foundation Trust,1,0,0
Camden & Islington NHS Trust,1,0,2
Camden Council,0,0,1
Camden and Islington NHS Trust,1,0,1
Camino Healthcare,0,0,1
Canal and River Trust,0,0,1
Canary Wharf Group PLC,0,0,1
Capita,0,0,2
Capital Karts Trading Ltd,0,0,1
Cardiff & Vale University Health Board,0,0,2
Cardiff City Council,0,0,1
Cardiff University,0,0,2
Cardiff and Vale Health Board,1,0,0
Cardiff and Vale University Health Board,2,0,1
Cardiff and the Vale University Health Board,1,0,0
Care Agency,0,0,1
Care First Class UK Limited,0,0,1
Care Inn Limited,1,0,0
Care Inspectorate Wales,1,0,0
Care Outlook Ltd,0,0,1
Care Quality Commission,24,0,20
Care Quality Commission (CQC),0,0,1
Care UK,2,0,7
Care UK Clinical Services,1,0,0
Careworld London Limited,0,0,1
Carillion,0,0,1
Caring Homes Healthcare Group Limited,1,0,0
Carlsberg Supply Co Ltd,0,0,1
Caterlink,1,0,0
Cedar Care Home,1,0,0
Central & North West London NHS Foundation Trust,0,0,1
Central & North West London NHS NHS Trust,1,0,0
Central London Community Healthcare NHS Trust,0,0,1
Central Manchester University Hospitals,1,0,0
Central Manchester University Hospitals NHS Foundation Trust,1,0,0
Central Surgery,0,0,1
Central and North West Hospital NHS Trust,1,0,0
Central and North West London NHS Foundation Trust,1,0,0
Central and North West London NHS Trust,2,0,2
Change Glow Live,1,0,0
Charing Healthcare,0,0,1
Chartered Institution of Waste Management,0,0,1
Chelsea & Westminster Hospital,0,0,1
Cherish Home Care,0,0,1
Cheshire East Council,0,0,3
Cheshire East Highways Department,0,0,3
Chester Hospital NHS Trust,1,0,0
Chesterfield Royal Hospital,1,0,0
Chief Constable of Lincolnshire,0,0,1
Chief Constable of Warwickshire Police,0,0,1
Chief Coroner of England and Wales,1,0,0
Chief Fire and Rescue Services,0,0,1
Chief Inspector of Prisons,1,0,0
Christian Congregation of Jehova’s Witnesses,0,0,1
Churchgate Surgery,2,0,0
City Hospitals NHS Trust,0,0,1
City Hospitals Sunderland NHS Foundation Trust,0,0,1
City Hospitals Sunderland NHS Trust,0,0,1
City and County Healthcare Group,0,0,1
Civil Aviation Authority,2,0,7
Clarion Housing Group,0,0,1
Clifton Court Nursing Home,0,0,1
Clinical Commissioning Group,0,0,4
Clinical Commissioning Groups,1,0,1
"Clinical, Commissioning Group",0,0,1
Coed Duon Care Home,0,0,1
Cole Valley Care Limited,0,0,1
Cole Valley Care Ltd,0,0,1
College and Society of Radiographers,1,0,0
College of Policing,3,0,4
Comfort Call Limited,0,0,1
Comish Way Group Practise,0,0,1
Commissioner for Highways,1,0,0
"Commissioning Manager, Drug and Alcohol Action Team",0,0,1
"Commissioning and Operations, Centra Midlands NHS",1,0,0
Committee on Vaccination and Immunisation,1,0,0
Compton Lodge Care Home,0,0,1
Construction Industry Council,0,0,1
Construction Plant Hire Association,1,0,0
"Consultant Psychiatrist, Keats House, London",1,0,0
Conway County Council,1,0,0
Cornwall Council,1,0,2
Cornwall Health,0,0,1
Cornwall NHS Trust,1,0,2
Cornwall Partnership (Foundation) Trust,0,0,1
Cornwall Partnership Foundation Trust,0,0,2
Cornwall Partnershipship NHS Trust,0,0,1
County Durham and Darlington NHS Trust,0,0,1
"County Durham and Darlington NHS Trust, Grosvenor Park Care Home",0,0,1
Coventry & Warwickshire NHS Trust,0,0,1
Coventry University,0,0,1
Cowes Week Limited,0,0,1
Coxbench Hall Residential Home,0,0,1
Cricket Green Medical Practice,0,0,1
"Crime, Policing and Fire Service",1,0,0
Crossroads House Care Home,0,0,1
Croydon CCG,0,0,1
Croydon Health Service,0,0,1
Croydon Health Services NHS Trust,0,0,1
Crystal Care Limited,1,0,0
Cumberland Council,0,0,1
Cumbria County Council,0,0,2
Cumbria County Council (Highways Department),1,0,0
Cumbria County Council  ,1,0,0
Cumbria NHS Trust,0,0,1
Cwm Taf Health Board,0,0,2
Cwm Taf Morgannwg University Health Board,1,0,2
Cwm Taf University Health Board,0,0,3
Cwm Taff University Hospital Health Board,0,0,1
Cwm taf University Health Board,0,0,1
DAF Trucks Ltd,0,0,1
DHL Supply Chain UKI,0,0,1
DVLA Medical Branch,1,0,0
DVSA,1,0,0
Darlington Cattle Mart,1,0,0
Darwin medical Practice,0,0,1
David Ake & Co Solicitors,0,0,1
Delamere Medical Practice,0,0,1
Denbighshire County Council,1,0,0
Department for Community and Local Government,1,0,0
Department for Education,2,0,6
Department for Health,7,0,9
Department for Health & Social Care,0,0,1
Department for Health and Social Care,3,0,4
Department for Transport,6,0,14
"Department for the Environment, Food and Rural Affairs",1,0,0
Department fr Health,1,0,0
"Department of Business, Energy and Industrial Strategy",1,0,0
Department of Communities and Local Government,1,0,0
Department of Culture Media and Sport,1,0,0
Department of Education,2,0,2
"Department of Environment, Food and Rural Affairs",1,0,0
Department of Health,13,0,70
Department of Health & Social Care,1,0,1
Department of Health and Social Care,10,0,18
"Department of Health, NHS England",0,0,1
Department of Health  and Social Care,1,0,0
Department of State for Social Care,0,0,1
Department of Transport,1,0,4
Derriford Hospital,1,0,1
Derwent Students,0,0,1
Devon County Council,0,0,1
Devon Highways,0,0,1
Devon Local Medical Centre,1,0,0
Devon Local Medical Committee,1,0,0
Devon NHS Integrated Care Commission,0,0,1
Devon NHS Trust,1,0,2
Devon Partnership NHS Trust,1,0,3
Devon Partnership Trust,1,0,2
Devon and Cornwall Police,2,0,0
Devon and Cornwall Police Adult Safeguarding Team,1,0,0
Digsafe Suction Excavations Limited,1,0,0
Dinnington Group Practice,1,0,0
Diprobase Bayer Public Limited,1,0,0
Director of Housing,1,0,0
Doncaster County Council,0,0,1
Doncaster Highways Services,0,0,1
Doncaster Royal Infirmary,0,0,3
Donneybrook Medical Centre,0,0,1
Dorset CCG,0,0,1
Dorset Council Highways Department,0,0,1
Dorset County Council,0,0,1
Dorset County Hospital,0,0,1
Dorset Health Care University,1,0,0
Dorset Healthcare University Hospital NHS Trust,0,0,1
Dorset Highways Department,0,0,1
Dorset Highways Departments,0,0,1
Dorset Police,2,0,1
Downham Grange Care Home,0,0,1
Drager,0,0,1
Driver & Vehicle Licensing Agency,3,0,0
"Drug, Alcohol Action Team Cornwall Council",1,0,0
Dudley Group of Hospitals NHS Foundation Trust,0,0,1
Dudley Group of Hospitals NHS Trust,0,0,1
Dudley and Walsall Mental Health NHS Trust,1,0,0
Dulwich Dive Club,0,0,1
Durham County Council,1,0,7
Dyfed-Powys Police,0,0,1
EAM Care Group,0,0,1
EFAS,1,0,0
EMIS,1,0,0
EMIS Health,1,0,0
ENT,1,0,0
EPUT,1,0,2
Each Step Nursing Home,0,0,1
East Kent Hospitals University NHS Foundation Trust,0,0,2
East Kent Hospitals University NHS Trust,0,0,2
East Kent University Hospital NHS Trust,0,0,1
East Lancashire Healthcare NHS Trust,0,0,2
East Lancashire Hospitals NHS Trust,0,0,1
East Lancashire NHS Trust,0,0,1
East Leicester CCG,1,0,0
East Leicestershire and Rutland CCG,0,0,1
East Leicestershire and Rutland Clinical Commissioning Group,1,0,0
East London Foundation Trust,0,0,1
East London NHS Foundation Trust,0,0,3
East London NHS Trust,1,0,8
East Midlands Ambulance Service,1,0,7
East Midlands Ambulance Service NHS Trust,0,0,3
East Midlands Ambulance Services,0,0,1
East Surrey Hospital,1,0,0
East Sussex County Council,0,0,2
East Sussex Health Care NHS Trust,1,0,0
East of England Ambulance Service,0,0,6
East of England Ambulance Service NHS Trust,1,0,0
East of  England Ambulance Service,0,0,1
Eastgate Residential Care Homes,0,0,1
Edgeley Medical Centre,0,0,1
Eldercare,1,0,0
Emergency Call Prioritisation Advisory Group,1,0,0
Emergency Call Prioritisation Advisory Group (ECPAG),1,0,0
"Emergency Preparedness, Resilience and Response",1,0,0
Emirates Airlines,1,0,0
Emsworth Surgery,0,0,1
Endless Street Surgery,0,0,1
Enfield Clinical Commissioning Group,1,0,0
Environmental Services Associations,0,0,1
Epsom & St Helier University Hospital NHS Trust,1,0,0
Epsom General Hospital,1,0,0
Epsom and St Helier University Hospitals NHS Trust,1,0,0
Essex Community Rehabilitation Company,1,0,0
Essex Partnership NHS Foundation Trust,1,0,3
Essex Partnership NHS Trust,0,0,1
Essex Partnership University NHS Foundation Trust,0,0,1
Essex Police,1,0,1
Exeter University,0,0,1
FCO,0,0,1
Fairfield View Care Centre,0,0,1
Federation of Piling Specialists,1,0,0
Fern House Surgery,1,0,0
Fire Officers Association,1,0,0
First Class Care,0,0,1
First Mainline,0,0,1
First Port Retirement Property Services Limited,0,0,1
First Response Group,1,0,0
Fisher and Paykel,1,0,0
Fitzalan Medical Group,1,0,0
Flintshire County Council,1,0,0
Food Standards Agency,1,0,2
Football Association,1,0,0
Ford UK,2,0,0
Foreign Office,0,0,1
Forestry Commission,0,0,1
Foxhound Association,1,0,0
Free the Way,0,0,1
Fremington Medical Centre,0,0,1
Frimley Park Hospital,0,0,1
Future Care & Social Care Association,1,0,0
G4S,3,0,3
G4S Medical Services,0,0,1
GE Healthcare,0,0,1
GEOAmey,1,0,1
GRS Recovery,0,0,1
General Council,0,0,1
General Medical Council,3,0,5
General Pharmaceutical Council,2,0,0
George Eilot Hospital NHS Trust,0,0,1
George Eliot Hospital NHS Trust,1,0,0
Glenholme Holdingham Grange Care Home,0,0,1
Gloucestershire Care Services NHS Trust,0,0,1
Gloucestershire County Council,0,0,2
Gloucestershire County Council Highways Department,0,0,1
Gloucestershire Hospital NHS Foundation Trust,0,0,1
Gloucestershire Hospitals NHS Trust,0,0,4
Gloucestershire Police,1,0,0
Goals Soccer Centres PLC,1,0,0
Government Legal Department,0,0,1
Governor HMP Hewell,1,0,0
Govia Thameslink Railways,0,0,1
Grange Clinic,1,0,0
Grasmere Surgery,0,0,1
Grassy Meadow Care Centre,0,0,1
Great Ormond Street Hospital,1,0,0
Great Ormond Street Hospital NHS Trust,0,0,1
Great Western Hospital NHS Trust,0,0,1
Great Western Hospitals NHS Trust,0,0,2
Great Western Railway,0,0,1
Greater Manchester Combined Authority,0,0,1
Greater Manchester Health & Social Care Partnership,1,0,1
Greater Manchester Health and Social Care Partnership,1,0,4
Greater Manchester Medicines Management Group,0,0,1
Greater Manchester Mental Health & Social Care Trust,0,0,1
Greater Manchester Mental Health NHS Foundation Trust,0,0,2
Greater Manchester Mental Health NHS Foundation Trust (GMMH),0,0,1
Greater Manchester Mental Health NHS Trust,1,0,1
Greater Manchester NHS Area Team,0,0,2
Greater Manchester Police,2,0,11
Greater Manchester West Health NHS Trust,0,0,1
Greater Manchester West Mental Health NHS Foundation Trust,1,0,0
Greater Manchester mental Health NHS Trust,0,0,1
Green Porch Medical Centre,0,0,1
Greenbrook Healthcare,0,0,1
Guinness Care,1,0,0
Guys & St Thomas NHS Trust,0,0,1
Guys and St Thomas NHS Trust,1,0,0
Gwern Alyn House Residential Home,0,0,1
Gwynedd Council,0,0,1
H R Healthcare Limited,1,0,0
HC-One,1,0,5
HCA Health Care UK,1,0,0
HM Inspector of Railways,1,0,0
HM Prison,1,0,0
HM Prison & Probation Service,1,0,1
HM Prison Cardiff,0,0,1
HM Prison Service,2,0,0
HM Prison and Probation Service,2,0,5
HM Prison and Probation Services,1,0,0
HM Prisons and Probation Service,3,0,1
HMCTS,1,0,1
HMP Bedford,1,0,0
HMP Berwyn,1,0,0
HMP Birmingham,0,0,1
HMP Dartmoor,0,0,1
HMP Dovegate,0,0,2
HMP Durham,0,0,3
HMP Elmley,0,0,1
HMP Exeter,0,0,1
HMP Garth,0,0,1
HMP Guys Marsh Prison,0,0,1
HMP High Down,1,0,0
HMP Lancaster Farms,0,0,1
HMP Leeds,0,0,2
HMP Leicester,0,0,1
HMP Lindholme,0,0,1
HMP Long Lartin,0,0,3
HMP Lowdham Grange,0,0,1
HMP Pentonville,3,0,1
HMP Portland,0,0,1
HMP Ranby,1,0,0
HMP Rochester,0,0,1
HMP Stoke,0,0,1
HMP Swaleside,0,0,1
HMP Swansea,0,0,1
HMP Wandsworth,1,0,0
HMP Winchester,1,0,0
HMP Woodhill,2,0,0
"HMP Woodhill,",0,0,1
HMP Wormwood Scrubs,0,0,1
HMP Wymott,1,0,0
HMP YOI Glen Parva,1,0,0
HMPPS,0,0,1
HMPS,0,0,1
HMYOI Cookham Wood,0,0,1
"HSE, Local Government Association",1,0,0
"HSE, Soilmec Limited",1,0,0
Halton Clinical Commissioning Group,1,0,0
Hamerton Zoological Park,1,0,0
Hamilton Community Homes Ltd,0,0,1
Hampshire Constabulary Police,0,0,1
Hampshire County Council,1,0,2
Hampshire NHS Trust,0,0,1
Hampshire Police Constabulary,1,0,0
Hands of Light Academy,0,0,1
Harbour Healthcare,1,0,0
Harden & Bingley Park Ltd,0,0,1
Harrogate & Rural District Clinical Commissioning Group,0,0,1
Haughton Thornley Medical Centres,0,0,1
Haven Day Care Centre,1,0,0
Havering Highways,1,0,0
Hazelmere Medical Centre,0,0,1
Head of Safeguarding,1,0,0
Health Education England,1,0,1
Health Inspectorate Wales,1,0,0
Health and Safety Executive,6,0,10
Healthcare Care UK,0,0,1
Healthcare Safety Investigation Branch,0,0,1
Healthcare UK&I,1,0,0
Heart of England NHS Foundation Trust,2,0,0
Heart of England NHS Trust,1,0,0
Heart of Enhland NHS Trust,1,0,0
Heathview Medical Practice,0,0,1
Heaton Moor Medical Centre,1,0,0
Heaton Norris Health Centre,1,0,0
Hellesdon Hospital,0,0,4
Hereford County Hospital,0,0,1
Hertfordshire Constabulary,0,0,1
Hertfordshire County Council,0,0,1
Hertfordshire Partnership University NHS Foundation Trust,0,0,1
Hertfordshire Trading Standards,0,0,1
Hewett School,1,0,0
Highways Agency Essex County Council,0,0,1
Highways Department Birmingham City Council,0,0,1
Highways Department – Salford City Council,0,0,1
Highways England,2,0,13
Highways England National Traffic Operations Centre,0,0,1
Hillbrook Grange Residential Care Home,0,0,1
Hilton Hotel,0,0,1
Hindley Health Centre Pharmacy,1,0,0
Hirst Electrical Plant Hire Services UK Ltd,0,0,1
Holy Cross Hospital,0,0,1
Home Care Support Limited,1,0,0
Home Farm Trust Limited,0,0,1
Homerton University Hospital,1,0,1
Homerton University Hospital NHS Trust,1,0,2
Home  Office,11,0,9
Hopwood House Medical Practice,0,0,1
Hospital NHS Trust Derriford Hospital,1,0,0
Hoults Limited,1,0,0
Hounslow Borough Council,0,0,1
Housing of Vulnerable People (Building Safety),0,0,1
Hull Combined Court Centre,0,0,1
Human Race Limited,0,0,1
Humber Bridge Board,0,0,1
Hunters Lodge Care Home,0,0,1
Hurst Hall Care Centre,1,0,0
Hwyel Dda University Health Board,1,0,0
Hywel Dda University Health Board,0,0,1
Impact Housing Association,0,0,1
Incarace,0,0,1
Incommunities,0,0,1
Independence Homes Limited,0,0,1
Independent Healthcare Providers Network,1,0,0
Independent Monitoring Board,0,0,1
Informa Healthcare,1,0,0
Inmind Healthcare Group,0,0,1
Instastop Ltd,0,0,1
International Academics of Emergency Dispatch,0,0,1
International Maritime Organisation,1,0,0
Interweave,0,0,1
Islands Roads,0,0,1
Isle of Wight Council,0,0,1
Isle of Wight Highways Department,0,0,1
Isle of Wight NHS Trust,0,0,1
JV Ltd,0,0,1
James Paget University Hospital,0,0,3
Jigsaw Homes Group,1,0,0
Jigsaw Homes Tameside,0,0,1
John Radcliffe Hospital,0,0,1
Johnnie Johnson Housing,0,0,1
Johnson and Johnson Medical Devices,1,0,0
Joint Royal Colleges Ambulance Liaison Committee,3,0,0
Jubilee Gardens Care Centre,0,0,1
Jubilee Stores,1,0,0
Justice Secretary,0,0,1
Kendal Calling,0,0,1
Kent County Council,0,0,3
Kent Police,0,0,2
Kernow CCG,0,0,1
Kernow Clinical Commissioning Group,0,0,1
Kettering General Hospital,2,0,0
Kettering General Hospital NHS Foundation Trust,0,0,1
Kindandental,0,0,1
Kings College Hospital,0,0,2
Kingsley Care Home,1,0,0
King’s College Hospital NHS Foundation Trust,0,0,1
Kirklees Council,1,0,0
Knowle House Surgery,1,0,0
Kockey Road Medical Centre,0,0,1
LTHTR,1,0,0
Laing O’Rourke UK & Europe,0,0,1
Lakeview Care Home,1,0,0
Lambton Care Home,0,0,1
Lambton House LTD,0,0,1
Lancashire Care NHS Foundation Trust,0,0,1
Lancashire Care NHS Trust,0,0,2
Lancashire Constabulary,0,0,2
Lancashire County Council,0,0,1
Landlord,0,0,1
"Lands, Estates and Property Housing and Land Directorate, Greater London Authority",1,0,0
Lean on Me Care Agency,0,0,1
Leeds City Council,0,0,2
Leeds City Council Highways Department,0,0,1
Leeds Teaching Hospital NHS Trust,0,0,1
Leeds Teaching Hospitals NHS Trust,1,0,5
Leek Health Centre,1,0,0
Leicester City Council,1,0,0
Leicester NHS Trust,0,0,1
Leicester Partnership NHS Trust,0,0,1
Leicestershire NHS Trust,1,0,1
Leicestershire Partnership NHS Trust,0,0,2
Lewisham & Greenwich NHS Trust,1,0,0
Lifeshield Medical Services Limited,0,0,1
Lifeskills,0,0,1
Lime Tree Surgery,0,0,1
Lincolnshire Community Health Service NHS Trust,0,0,1
Lincolnshire County Council,0,0,4
Lincolnshire County Council Highways Department,0,0,1
Lincolnshire Hospitals NHS Trust,0,0,1
Lincolnshire Partnership NHS Foundation Trust,0,0,1
Linden House Surgery,1,0,0
Lisson Grove Health Centre,1,0,0
Liverpool City Council,0,0,1
Liverpool Heart and Chest Hospital NHS Trust,0,0,1
Livewell South West,0,0,1
Local Government Association,1,0,1
Local Health Board,1,0,0
Locala,0,0,1
Lockfield Surgery,1,0,0
London Ambulance Service,2,0,3
London Ambulance Service NHS Trust,2,0,3
London Ambulance Services NHS Trust,0,0,2
London Borough of Camden,0,0,2
London Borough of Hackney,1,0,1
London Borough of Hounslow,1,0,0
London Borough of Lambeth,0,0,1
London Borough of Lewisham,2,0,0
London Borough of Lewisham Adult Care Services,1,0,0
London Borough of Southwark,0,0,1
London Borough of Tower Hamlets,0,0,2
London Bridge Hospital,0,0,1
London Central & West Unscheduled Care Collaborative,1,0,0
London Fire Brigade,0,0,1
London Heliport,2,0,0
London North West University Healthcare NHS Trust,0,0,1
London North West University NHS Trust,0,0,1
London North Western Railways,0,0,1
London Royal Borough of Greenwich,1,0,0
Lord Chancellor,0,0,1
Lower Clapton Group Practice,0,0,1
Ludlow Street Healthcare,1,0,0
Luton & Dunstable University Hospital NHS Trust,0,0,1
Luton Borough Council,1,0,1
Luton and Dunstable Hospital,2,0,0
Lynmere Nursing home,0,0,1
M & S Water Services,0,0,1
M C Federation,1,0,0
MFT,0,0,1
MHRA,5,0,9
MIRUS Wales,0,0,1
MOD,0,0,5
MOJ,13,0,2
"MOJ, HM Prison and Probation Service",1,0,0
Maesteg Comprehensive School,0,0,1
Magenta Living Support Link,0,0,1
Maidstone & Tonbridge Wells NHS Trust,0,0,1
Maidstone & Tunbridge Wells NHS Trust,1,0,0
Managing Director of Cegedim,1,0,0
Manchester Airport Group,1,0,0
Manchester City Council,0,0,1
Manchester Mental Health NHS Trust,1,0,0
Manchester Mental Health and Social Care Trust,1,0,0
Manchester Police,0,0,1
"Manchester United Football Club, Digital, Culture Media and Sport",1,0,0
Manchester University Foundation Trust (MFT),0,0,1
Manchester University Hospitals NHS Foundation Trust,0,0,1
Manchester University NHS Foundation Trust,0,0,2
Manchester University NHS Trust,0,0,2
Manor Field Surgery,0,0,1
Mansfield and Ashfield,1,0,0
Marble Ideas Ltd,0,0,1
Maritime Coastguard Agency,0,0,3
Maritime and Coastguard Agency,0,0,2
Masta Limited,1,0,0
Maurice Mason Ltd,0,0,1
Mayday Group,0,0,1
Mayor of Greater Manchester,1,0,0
Meadbank Care Home,1,0,0
Meade Close Care Home,0,0,1
MedPure Healthcare,0,0,1
Media City UK,0,0,1
Medical Care Council,1,0,0
Medical Centre Stalybridge,1,0,0
Medical Officer Welsh Government,0,0,1
Medicines & Healthcare Products Regulatory Agency,1,0,0
Medicines and Healthcare Products Regulatory Agency,0,0,3
Medico Legal Manager,1,0,0
Medway Maritime Hospital,0,0,2
Medway NHS Foundation Trust,0,0,6
Mersey Care NHS Foundation Trust,0,0,1
Mersey Care NHS Trust,0,0,1
Merseyside Police,1,0,0
Merthyr Tydfil County Borough Council,0,0,1
Metropolitan Police,1,0,10
Metropolitan Police Service,1,0,3
