name,title,role
Ms Yvonne Kathleen Blake,Area Coroner,Norfolk
Mr Ivan Cartwright,Area Coroner,Leicester City and South Leicestershire
Ms Sonia Marie Hayes,Area Coroner,Essex
Ms Catherine Cundy,Area Coroner,North Yorkshire and York
Mr Simon Milburn,Area Coroner,Cambridgeshire and Peterborough
Mrs Joanne Andrews,Area Coroner,"West Sussex, Brighton and Hove"
Mrs Alison Longhorn,Area Coroner,"County of Devon, Plymouth & Torbay"
Mr Grant Davies,Area Coroner,Wiltshire and Swindon
Ms Elizabeth Gray,Area Coroner,Cambridgeshire and Peterborough
Mrs Joanne Lees,Area Coroner,The Black Country Jurisdiction
Dr clare Keane,Area Coroner,Corresponding Member
Ms Hannah Godfrey,Area Coroner,Berkshire
Miss Lorraine Harris,Area Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mrs Victoria Davies,Area Coroner,Cheshire
Mrs SARAH LOUISE SLATER,Area Coroner,Yorkshire South East
Mrs Rosamund Rhodes-Kemp,Area Coroner,"Hampshire, Portsmouth and Southampton"
Mrs Rose farmer,Area Coroner,Gwent
Ms Deborah Archer,Area Coroner,"County of Devon, Plymouth & Torbay"
Mr Chris Morris,Area Coroner,Greater Manchester South
Mr Kimberley Ian Singleton,Area Coroner,Wiltshire and Swindon
Mr Peter Sigee,Area Coroner,Greater Manchester West
Mr Daniel Howe,Area Coroner,Staffordshire
Mr Nicholas Lane,Area Coroner,"County of Devon, Plymouth & Torbay"
Ms Suzanne Anderson,Area Coroner,Corresponding Member
Mr Simon Wickens,Area Coroner,Surrey
Ms Catherine Judith Wood,Area Coroner,Kent
Mr Delroy Henry,Area Coroner,Coventry
Miss Susan Evans,Area Coroner,Derby and Derbyshire
Dr Peter Harrowing,Area Coroner,Avon
Mr Zak Golombeck,Area Coroner,Manchester City
Mr Peter Anthony Murphy,Area Coroner,London North
Mr Jacques Howell,Area Coroner,Hertfordshire
Miss Laurinda Bower,Area Coroner,Nottinghamshire
Miss Catherine Bisset,Area Coroner,Lancashire and Blackburn with Darwen
Miss Caroline Margaret Jones,Area Coroner,Cambridgeshire and Peterborough
Mr Jason Pegg,Area Coroner,"Hampshire, Portsmouth and Southampton"
Mr Christopher John Long,Area Coroner,Lancashire and Blackburn with Darwen
Ms Nadia Persaud,Area Coroner,London East
Ms Jan Alam,Area Coroner,Yorkshire West Eastern
Mr Paul Michael Appleton,Area Coroner,Manchester City
Ms AMANDA CLAIRE HILL,Assistant Coroner,Yorkshire West Western
Sara Sutherland,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Gavin Knox,Assistant Coroner,South Wales Central
Mrs Eleanor Kay McGann,Assistant Coroner,Essex
Miss Lindsay Tasker,Assistant Coroner,Greater Lincolnshire
Mrs Rebecca Connell,Assistant Coroner,Yorkshire South West
Mrs Lauren Costello,Assistant Coroner,Greater Manchester South
Ms Rachel Galloway,Assistant Coroner,Lancashire and Blackburn with Darwen
Ms Rachel Spearing,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mrs Jean Harkin,Assistant Coroner,Cheshire
Ms Fleur Hallett,Assistant Coroner,London Inner South
Mr Ian Wade KC,Assistant Coroner,London East
Mrs Hannah Victoria Berry,Assistant Coroner,Yorkshire South West
Mr christopher paul williams,Assistant Coroner,London Inner South
Mr David Julian Rosenberg,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Miss Anna Crawford,Assistant Coroner,Surrey
Miss Alison McCormick,Assistant Coroner,Berkshire
Ms Katy Ainge,Assistant Coroner,Liverpool and the Wirral
Ms Melanie Lee,Assistant Coroner,London Inner North
Ms Sally Hatfield,Assistant Coroner,Manchester City
Dr Murray James Spittal,Assistant Coroner,Retired Member
Mr Simon Brenchley,Assistant Coroner,Birmingham and Solihull
Mr Richard Mumford,Assistant Coroner,Hertfordshire
Ms Sally Ann Case,Assistant Coroner,Surrey
Ms Justine Spencer,Assistant Coroner,Berkshire
Ms Kate Fawell-Comley,Assistant Coroner,"West Sussex, Brighton and Hove"
Mrs Angela Carol Brocklehurst,Assistant Coroner,Yorkshire West Western
Miss Linda Jacobs,Assistant Coroner,London City
Dr Séan Cummings,Assistant Coroner,Milton Keynes
Miss Kerrie Burge,Assistant Coroner,South Wales Central
Ms Sally Hatfield,Assistant Coroner,Manchester City
Ms Paula Sparks,Assistant Coroner,London South
Mr Xavier Mooyaart,Assistant Coroner,London Inner South
Dr Leslie Hamilton,Assistant Coroner,County Durham and Darlington
Mr Neil Cameron,Assistant Coroner,Yorkshire South East
Mr Richard G Taylor,Assistant Coroner,Lancashire
Mr Patrick Cassidy,Assistant Coroner,Blackpool and Fylde
Miss Luisa Maria Nicholson,Assistant Coroner,"County of Devon, Plymouth & Torbay"
Ms Hannah Hinton,Assistant Coroner,London West
Miss Sabyta Kaushal,Assistant Coroner,Derby and Derbyshire
Mrs Laura May Bradford,Assistant Coroner,East Sussex
Ms Vanessa McKinlay,Assistant Coroner,Birmingham and Solihull
Miss Thea Wilson,Assistant Coroner,Essex
Miss Thea Wilson,Assistant Coroner,Essex
James Stewart Hunter,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss Rachel Elisabeth Knight,Assistant Coroner,South Wales Central
Miss Kate Thomas,Assistant Coroner,Kent Mid and Medway
Mr Stephen Covell,Assistant Coroner,Cornwall and the Isles of Scilly
Ms Saba Naqshbandi,Assistant Coroner,London Inner North
J. Nigel Anderson,Assistant Coroner,Derby and Derbyshire
Mrs Kiran Chahal-Musgrave,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Ms Saoirse Townshend,Assistant Coroner,Bedfordshire and Luton
Mr Philip Vollans,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Philip Vollans,Assistant Coroner,Staffordshire and Stoke-on-Trent
Miss Lorna Jane Skinner QC,Assistant Coroner,Cambridgeshire and Peterborough
Mr Jake Taylor,Assistant Coroner,London Inner West
Mr Gordon Clow,Assistant Coroner,Nottinghamshire
Richard Baker,Assistant Coroner,Yorkshire South East
Mr RAVI SIDHU,Assistant Coroner,Berkshire
Mr John Hobson,Assistant Coroner,Yorkshire West Eastern
Mr Heath Westerman,Assistant Coroner,"Shropshire, Telford and Wrekin"
Mr Michael Louis Sheridan Mellun,Assistant Coroner,Retired Member
Miss Bronia Elisabeth Hartley,Assistant Coroner,Greater Manchester West
Mr Colin Phillips,Assistant Coroner,Swansea and Neath Port Talbot
Ms Sabina Khan,Assistant Coroner,London Inner West
Ms Tina Amanda Harrington,Assistant Coroner,Essex
Mr Edmund Gritt,Assistant Coroner,London South
Miss Kate Thomas,Assistant Coroner,Kent Mid and Medway
Mr Gareth jones,Assistant Coroner,"West Sussex, Brighton and Hove"
Ms Caroline Cross,Assistant Coroner,London Inner South
Mr Simon Nicholas Burge,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Miss Isobel Thistlethwaite,Assistant Coroner,Leicester City and South Leicestershire
Mrs Karen Dilks,Assistant Coroner,Newcastle and North Tyneside
Jo Cooper,Assistant Coroner,Kent Mid and Medway
Mrs Anna Loxton,Assistant Coroner,Surrey
Mr Sebastian Hugh Joseph Naughton,Assistant Coroner,London South
Mr Simon Jones,Assistant Coroner,Lancashire and Blackburn with Darwen
Miss Elizabeth Dudley-Jones,Assistant Coroner,North Wales (East & Central)
Mr Tony Badenoch,Assistant Coroner,London Inner South
Ms Sally Olsen,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Ms KATY THORNE KC,Assistant Coroner,Berkshire
Mrs Krestina Hayes,Assistant Coroner,Surrey
Mr Adrian John Farrow,Assistant Coroner,Greater Manchester South
Mr Adrian John Farrow,Assistant Coroner,Greater Manchester South
Mr Paul John Rogers,Assistant Coroner,London Inner West
Ms Gemma Brannigan,Assistant Coroner,Oxfordshire
Miss Rachel Raheela Syed,Assistant Coroner,Greater Manchester West
Dr Simon Fox QC,Assistant Coroner,Avon
Miss S DEONARINE,Assistant Coroner,London Inner South
Miss Kelly Elizabeth Dixon,Assistant Coroner,The Black Country Jurisdiction
Timothy H Ratcliffe,Assistant Coroner,Yorkshire West Western
Mrs Elizabeth Megan Brown,Assistant Coroner,Nottinghamshire
Mr Matthew Stanbury,Assistant Coroner,Yorkshire South East
Mr Mr Roland Wooderson,Assistant Coroner,Herefordshire
Mr Nicholas Leslie Rheinberg,Assistant Coroner,Wiltshire and Swindon
Mr Duncan Ritchie,Assistant Coroner,Staffordshire and Stoke-on-Trent
Ms Myfanwy Buckeridge,Assistant Coroner,Avon
Mr Nicholas Moss QC,Assistant Coroner,Cambridgeshire and Peterborough
Ms Marianne Johnson,Assistant Coroner,Greater Lincolnshire
Mr Keith Morton QC,Assistant Coroner,Cambridgeshire and Peterborough
Mr Andrew David Cousins,Assistant Coroner,Blackpool and Fylde
Mr David Lewis,Assistant Coroner,Liverpool and the Wirral
Mr Andrew Morse,Assistant Coroner,South Wales Central
Ms Tina Amanda Harrington,Assistant Coroner,Essex
Miss Jane Eatock,Assistant Coroner,Greater Lincolnshire
Mrs Helen Rimmer,Assistant Coroner,Liverpool and the Wirral
Ms Alicia Keen,Assistant Coroner,"West Sussex, Brighton and Hove"
Ms Susan Ridge,Assistant Coroner,Surrey
Mr Tim Deeming,Assistant Coroner,Suffolk
Joanna Lesley Pratt,Assistant Coroner,East Sussex
Miss ana samuel,Assistant Coroner,Birmingham and Solihull
Mrs Jo Wharton,Assistant Coroner,Teesside and Hartlepool
Ms Abigail Combes,Assistant Coroner,Yorkshire South West
Ms Abigail Combes,Assistant Coroner,Yorkshire South West
Mrs Deborah Rachel Lakin,Assistant Coroner,Warwickshire
Mrs Michaela Amy Blackmore,Assistant Coroner,Warwickshire
Miss Neena Sharma,Assistant Coroner,Nottinghamshire
Mr Thomas Richard Geoffrey Leeper,Assistant Coroner,Warwickshire
Donald Georgelin,Assistant Coroner,Corresponding Member
Mrs Gaynor Kynaston,Assistant Coroner,South Wales Central
Ms Sophie Kate Mortimer,Assistant Coroner,Hertfordshire
Dr Elizabeth Didcock,Assistant Coroner,Nottinghamshire
Miss Janine Wolstenholme,Assistant Coroner,Yorkshire West Eastern
Miss Louise E Rae,Assistant Coroner,Blackpool and Fylde
Mr Crispin Oliver,Assistant Coroner,County Durham and Darlington
Miss Sian Reeves,Assistant Coroner,London South
Mr Thomas Richard Geoffrey Leeper,Assistant Coroner,Warwickshire
Miss Rachel Young,Assistant Coroner,Greater Lincolnshire
Mr Carl John FITCH,Assistant Coroner,Yorkshire South West
Ms Caroline Cross,Assistant Coroner,London Inner South
Mr Philip Barlow,Assistant Coroner,London Inner South
Mr James Lester-Ashworth,Assistant Coroner,Manchester City
Miss Lisa Judge,Assistant Coroner,Greater Manchester West
Mr Matthew A Cox,Assistant Coroner,Greater Manchester North
Miss Laura Fox,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Ian Christopher James Dreelan,Assistant Coroner,Birmingham and Solihull
Ms Alexandra Pountney,Assistant Coroner,Yorkshire South West
Miss Laura Nash,Assistant Coroner,Lancashire and Blackburn with Darwen
Dr Peter Henry Straker,Assistant Coroner,London North
Mr Richard Guy Davies,Assistant Coroner,Cornwall and the Isles of Scilly
Ms Angharad Davies,Assistant Coroner,Manchester City
Ms Leila Benyounes,Assistant Coroner,Gateshead and South Tyneside
Mr Harry Nathaniel Lambert,Assistant Coroner,London Inner North
Dr Peter Henry Straker,Assistant Coroner,London North
Dr Frances Mary Cranfield,Assistant Coroner,Hertfordshire
Mrs Alison Norton,Assistant Coroner,North Yorkshire and York
Mrs Sarah L. Whitby,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Miss Helena Gallagher,Assistant Coroner,Yorkshire West Eastern
Ms Leanne Woods,Assistant Coroner,London East
Mr Michael Wall,Assistant Coroner,Nottinghamshire
Mr David Pojur,Assistant Coroner,North Wales (East & Central)
Mr Benjamin Haigh,Assistant Coroner,Teesside and Hartlepool
Dr Rashid Sohail,Assistant Coroner,Manchester City
Ms Victoria Alexandra Webb,Assistant Coroner,London South
Miss Sarah Valentine,Assistant Coroner,London Inner South
Mr John Joseph Buckley,Assistant Coroner,Warwickshire
Mrs Angela Carol Brocklehurst,Assistant Coroner,Yorkshire West Western
Ms Allison SUMMERS,Assistant Coroner,Kent Mid and Medway
Mr Jonathan Dixey,Assistant Coroner,Northamptonshire
Mrs Helen Rachel Redman,Assistant Coroner,East Sussex
Mr james puzey,Assistant Coroner,Worcestershire
Ms Fiona Borrill,Assistant Coroner,Manchester City
Miss Sarah Anna Middleton,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Miss Sarah Anna Middleton,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Miss Charlotte Mary Crangle,Assistant Coroner,Derby and Derbyshire
Mr Christopher Leach,Assistant Coroner,Norfolk
Ms Karen Dempsey,Assistant Coroner,London South
Dr Jeane Rosa Mellani,Assistant Coroner,Essex
Mr John Taylor,Assistant Coroner,London North
Mr David Regan,Assistant Coroner,South Wales Central
Richard Baker,Assistant Coroner,Yorkshire South East
Mr Scott Matthewson,Assistant Coroner,Kent Mid and Medway
Mr Mike Bird,Assistant Coroner,"County of Devon, Plymouth & Torbay"
Miss Rachel Elisabeth Knight,Assistant Coroner,South Wales Central
Mr Henry Frederick Charles,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mrs Emma Mather,Assistant Coroner,Yorkshire West Eastern
Mrs Lindsey Tonks,Assistant Coroner,Staffordshire and Stoke-on-Trent
Ms Sarah Nolan,Assistant Coroner,Derby and Derbyshire
Mr Michael Walsh,Assistant Coroner,Oxfordshire
Ms Ellie Oakley,Assistant Coroner,London Inner West
Dr Richard Ian Brittain,Assistant Coroner,London Inner North
Mr Gareth Lewis,Assistant Coroner,Carmarthenshire and Pembrokeshire
Mrs Susan Duncan,Assistant Coroner,Greater Manchester West
Mr Anthony Mazzag,Assistant Coroner,Manchester City
Mr Richard Thomas Middleton,Assistant Coroner,Dorset
Peter Charles Gore,Assistant Coroner,Yorkshire South East
Mr Nathanael James Hartley,Assistant Coroner,Nottinghamshire
Mr Gareth Lewis,Assistant Coroner,Carmarthenshire and Pembrokeshire
Mr Ian Geoffrey Pears,Assistant Coroner,Yorkshire West Western
Mrs Elizabeth Wheeler,Assistant Coroner,Cheshire
Ms Sophie Lomas,Assistant Coroner,Derby and Derbyshire
Mr Graham William Anthony Jackson,Assistant Coroner,"Sefton, Knowsley and St Helens"
Mr James Jerome Dillon,Assistant Coroner,Kent North East
Ms Gemma Brannigan,Assistant Coroner,Oxfordshire
Mr Andrew Perfect,Assistant Coroner,London North
Miss Karin Elizabeth Welsh,Assistant Coroner,Sunderland
Mr Ivor Collett,Assistant Coroner,London West
Mr Michael Senior Salt,Assistant Coroner,Greater Manchester North
Mrs Emma Morris,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mr David John John Sapiecha,Assistant Coroner,Somerset
Mr Scott McDonnell,Assistant Coroner,Surrey
Mr Matthew Kewley,Assistant Coroner,Derby and Derbyshire
Daniel Kremer,Assistant Coroner,East Sussex
Mr Matthew Kewley,Assistant Coroner,Derby and Derbyshire
Ms Judith Vanessa Leach,Assistant Coroner,Oxfordshire
Mr Robert Cohen,Assistant Coroner,Cumbria
Dr Karen Henderson,Assistant Coroner,Surrey
Mr Philip Anthony Holden,Assistant Coroner,Yorkshire West Eastern
Mr Joseph Hart,Assistant Coroner,Liverpool and the Wirral
Mrs Katy Dickinson,Assistant Coroner,Yorkshire South West
Daniel Kremer,Assistant Coroner,East Sussex
Mrs Sally Morgan,Assistant Coroner,"West Sussex, Brighton and Hove"
Dr Bridget Dolan KC,Assistant Coroner,"West Sussex, Brighton and Hove"
Mr Jonathan David Leach,Assistant Coroner,North Yorkshire and York
Mrs Jean Harkin,Assistant Coroner,Cheshire
Dr Sam Bass,Assistant Coroner,Cambridgeshire and Peterborough
Mr Sukhdev Garcha,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr James Lester-Ashworth,Assistant Coroner,Manchester City
Mr Andrew Michael Bridgman,Assistant Coroner,Greater Manchester South
Mrs Deborah Suzanne Rookes,Assistant Coroner,Dorset
Mr Chris Murray,Assistant Coroner,Greater Manchester South
Ms Anita Davies,Assistant Coroner,Cambridgeshire and Peterborough
Dr Daniel Sharpstone,Assistant Coroner,Suffolk
Mr Nicholas Moss QC,Assistant Coroner,Cambridgeshire and Peterborough
Miss Sarah Murphy,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr Andrew James Blair,Assistant Coroner,Teesside and Hartlepool
Mr Gareth Lewis,Assistant Coroner,Carmarthenshire and Pembrokeshire
Ms Laura Stephenson,Assistant Coroner,London South
Mrs Nathalie Ann James,Assistant Coroner,Yorkshire South West
Mr Robert Simpson,Assistant Coroner,Berkshire
Ms Jenny Goldring,Assistant Coroner,London Inner South
Miss Janine Richards,Assistant Coroner,County Durham and Darlington
Mr Mr Roland Wooderson,Assistant Coroner,Herefordshire
Miss Caroline Topping,Assistant Coroner,Surrey
Mr Philip Barlow,Assistant Coroner,London Inner South
Mr Edwin Buckett,Assistant Coroner,London Inner North
Ms Kate Wilson,Assistant Coroner,Liverpool and the Wirral
Mrs LINDA KAREN HADFIELD LEE,Assistant Coroner,Coventry
Miss Ceri Iona Evan Owen,Assistant Coroner,Greater Manchester West
Miss Sarah Jane Wood,Assistant Coroner,Nottinghamshire
Anthony Howard,Assistant Coroner,Lancashire and Blackburn with Darwen
Ms Mary T Burke,Assistant Coroner,Yorkshire West Western
Mr Thomas Crookes,Assistant Coroner,Newcastle and North Tyneside
Dr Marc Lindsey Leeming,Assistant Coroner,Southend (No 2)
Mr Neil Cameron,Assistant Coroner,Yorkshire South East
Mrs LOUISA ALICE ELIZABETH JONES CORCORAN,Assistant Coroner,Ceredigion
Mr Russell Ashley Caller,Assistant Coroner,London Inner West
Mr Peter Taheri,Assistant Coroner,Suffolk
Dr Bridget Dolan KC,Assistant Coroner,"West Sussex, Brighton and Hove"
Dr Gill Kane,Assistant Coroner,North Yorkshire and York
Miss Fiona Morrison,Assistant Coroner,Yorkshire South West
Dr Liliane Marthe Field,Assistant Coroner,London Inner South
Miss Anna Crawford,Assistant Coroner,Surrey
Mr Adam Hodson,Assistant Coroner,Birmingham and Solihull
Mr Paul Stanford Cooper,Assistant Coroner,Greater Lincolnshire
